序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/07/31,松山,1.6,0.47,410.59,14.6,25,13,27.3,12.35,14.95,2.28,29.94,74.51
2,臺北市,2014/07/31,古亭,2.6,0.49,-,12.3,34,12,24.13,6.75,17.38,2.46,30.31,78.69
3,臺北市,2014/07/31,中山,2.7,0.75,-,10.4,41,12,35.89,17.32,18.58,2.02,30.34,76.25
4,臺北市,2014/07/31,大同,2.8,1.2,-,-,40,6,38.59,21.94,16.64,-,-,-
5,臺北市,2014/07/31,萬華,3.4,0.55,-,15.4,26,11,23.6,7.25,16.36,2.11,30.24,77.83
6,臺北市,2014/07/31,陽明,1.6,0.08,401.4,25.6,8,5,1.96,0.35,1.54,-,23.01,98.99
7,臺北市,2014/07/31,士林,2.2,0.24,-,17.6,28,11,13.58,4.58,9.0,2.73,29.44,79.43
8,臺北市,2014/07/30,松山,1.5,0.28,414.02,9.9,20,7,15.35,5.98,9.37,1.83,30.52,71.13
9,臺北市,2014/07/30,古亭,2.1,0.32,-,9.4,28,8,18.24,7.37,10.87,2.3,30.89,73.89
10,臺北市,2014/07/30,中山,2.8,0.44,-,8.7,36,10,22.94,11.32,11.63,1.78,31.17,69.98
11,臺北市,2014/07/30,大同,2.8,0.98,-,-,37,6,42.62,28.32,14.3,-,-,-
12,臺北市,2014/07/30,萬華,2.5,0.41,-,10.3,22,11,21.37,8.11,13.26,1.74,31.05,71.63
13,臺北市,2014/07/30,陽明,1.8,0.05,398.94,14.4,7,5,2.41,0.71,1.68,-,23.77,95.92
14,臺北市,2014/07/30,士林,2.5,0.26,-,10.8,20,11,12.93,5.12,7.8,1.61,30.69,71.43
15,臺北市,2014/07/29,松山,4.3,0.25,422.33,10.4,22,11,16.06,6.93,9.13,2.18,30.36,68.41
16,臺北市,2014/07/29,古亭,2.5,0.3,-,11.2,25,8,17.43,7.67,9.76,2.73,31.14,67.53
17,臺北市,2014/07/29,中山,2.9,0.43,-,-,37,10,25.24,12.87,12.37,2.3,31.12,66.42
18,臺北市,2014/07/29,大同,3.8,0.87,-,-,36,7,48.21,33.08,15.14,-,-,-
19,臺北市,2014/07/29,萬華,3.4,0.34,-,8.9,19,9,23.43,10.84,12.58,2.61,31.0,67.61
20,臺北市,2014/07/29,陽明,2.3,0.06,400.9,13.9,9,6,2.21,0.55,1.62,-,23.56,93.51
21,臺北市,2014/07/29,士林,2.1,0.15,-,13.9,21,11,9.82,4.17,5.66,2.51,30.77,65.79
22,臺北市,2014/07/28,松山,2.3,0.28,425.1,11.5,20,11,16.51,7.11,9.4,1.87,30.54,65.54
23,臺北市,2014/07/28,古亭,1.6,0.28,-,11.3,22,9,14.97,6.47,8.5,2.63,30.89,65.63
