序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/12/31,松山,10.2,1.35,14.6,-,84,84,41.52,42.58,-,-,-,12.89,-,-,67.0
2,臺北市,1995/12/31,古亭,5.0,1.1,17.5,-,69,65,27.96,37.37,2.7,0.34,2.36,13.1,-,-,60.0
3,臺北市,1995/12/31,中山,8.9,1.59,13.0,-,73,102,51.03,51.1,3.02,0.57,2.45,13.29,-,-,62.0
4,臺北市,1995/12/31,大同,14.5,4.43,-,-,73,298,223.21,74.89,4.51,1.92,2.6,13.88,-,-,62.0
5,臺北市,1995/12/31,萬華,4.4,1.11,18.5,-,58,53,11.59,41.22,-,-,-,13.04,-,-,54.0
6,臺北市,1995/12/31,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,80.0,-
7,臺北市,1995/12/31,士林,6.2,1.21,18.4,-,75,77,30.47,40.04,-,-,-,13.1,-,-,62.0
8,臺北市,1995/12/30,松山,8.3,1.36,16.9,-,87,83,43.62,39.64,-,-,-,12.63,-,-,68.0
9,臺北市,1995/12/30,古亭,6.2,0.94,20.8,-,66,51,17.66,33.51,2.77,0.36,2.4,12.95,-,-,58.0
10,臺北市,1995/12/30,中山,7.2,1.34,16.5,-,73,85,40.46,44.2,2.79,0.48,2.3,13.0,-,-,62.0
11,臺北市,1995/12/30,大同,15.3,4.46,-,-,75,278,208.7,69.12,4.47,1.94,2.53,13.48,-,-,63.0
12,臺北市,1995/12/30,萬華,6.3,1.07,20.2,-,59,48,8.74,39.29,-,-,-,13.01,-,-,54.0
13,臺北市,1995/12/30,陽明,4.1,0.31,52.9,-,10,3,0.05,2.5,-,-,-,4.94,-,80.0,46.0
14,臺北市,1995/12/30,士林,4.3,0.9,27.0,-,57,50,18.67,31.59,-,-,-,12.74,-,-,54.0
15,臺北市,1995/12/29,松山,5.7,1.02,23.4,-,82,48,17.36,30.85,-,-,-,13.07,-,-,66.0
16,臺北市,1995/12/29,古亭,5.9,1.04,20.7,-,89,53,18.12,34.93,2.49,0.38,2.11,13.41,-,-,70.0
17,臺北市,1995/12/29,中山,5.5,1.02,24.0,-,78,54,18.85,34.9,2.37,0.25,2.11,13.36,-,-,64.0
18,臺北市,1995/12/29,大同,13.2,3.71,-,-,70,217,155.58,61.57,4.01,1.71,2.31,13.79,-,-,60.0
19,臺北市,1995/12/29,萬華,6.9,1.19,23.4,-,73,47,10.84,35.69,-,-,-,13.23,-,-,62.0
20,臺北市,1995/12/29,陽明,3.8,0.34,50.2,-,11,3,0.16,2.86,-,-,-,5.09,-,83.0,46.0
21,臺北市,1995/12/29,士林,4.5,0.72,31.4,-,70,25,6.02,19.39,-,-,-,12.99,-,-,60.0
22,臺北市,1995/12/28,松山,3.4,0.78,15.4,-,34,39,12.41,27.05,-,-,-,14.66,-,-,34.0
23,臺北市,1995/12/28,古亭,3.0,0.85,13.8,-,29,52,22.61,29.83,2.3,0.25,2.05,15.08,-,-,29.0
24,臺北市,1995/12/28,中山,3.2,0.93,12.6,-,28,-,-,-,2.33,0.21,2.12,14.85,-,-,28.0
25,臺北市,1995/12/28,大同,11.7,4.48,-,-,48,259,202.42,57.03,4.67,2.38,2.29,15.81,-,-,63.0
26,臺北市,1995/12/28,萬華,6.9,1.0,13.9,-,25,40,8.93,31.26,-,-,-,14.89,-,-,25.0
27,臺北市,1995/12/28,陽明,0.5,0.2,40.2,-,11,1,0.32,0.92,-,-,-,7.22,-,94.0,37.0
28,臺北市,1995/12/28,士林,1.7,0.54,19.5,-,24,24,5.79,18.68,-,-,-,15.34,-,-,27.0
29,臺北市,1995/12/27,松山,9.5,0.93,9.6,-,33,51,18.37,32.74,-,-,-,15.2,-,-,33.0
