序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2015/06/30,松山,3.3,0.53,424.46,26.4,34,18,27.98,7.21,20.77,2.09,32.17,60.76
2,臺北市,2015/06/30,古亭,2.7,0.46,-,25.9,49,15,21.35,4.41,16.94,2.16,31.46,68.58
3,臺北市,2015/06/30,中山,4.1,0.8,-,18.4,43,19,39.19,12.66,26.53,1.96,32.88,60.4
4,臺北市,2015/06/30,大同,4.1,1.87,-,-,55,15,57.8,30.56,27.24,-,-,-
5,臺北市,2015/06/30,萬華,3.1,0.5,-,26.2,38,17,21.5,3.83,17.66,1.91,32.23,61.76
6,臺北市,2015/06/30,陽明,2.4,0.14,396.5,29.9,20,13,7.1,1.36,5.74,-,24.6,86.52
7,臺北市,2015/06/30,士林,3.2,0.34,-,24.1,43,14,18.78,3.81,14.97,2.51,31.87,63.96
8,臺北市,2015/06/29,松山,2.3,0.47,420.04,21.6,40,17,25.55,7.5,18.05,2.19,32.23,62.19
9,臺北市,2015/06/29,古亭,1.9,0.45,-,20.2,49,15,19.41,4.16,15.25,2.22,31.33,72.48
10,臺北市,2015/06/29,中山,3.6,0.73,-,16.6,45,21,36.05,13.33,22.72,2.21,32.89,62.94
11,臺北市,2015/06/29,大同,3.8,2.03,-,-,54,19,62.56,36.83,25.74,-,-,-
12,臺北市,2015/06/29,萬華,1.9,0.47,-,20.6,33,16,19.96,3.88,16.07,2.05,32.22,65.25
13,臺北市,2015/06/29,陽明,2.0,0.14,395.84,25.7,17,12,6.0,1.7,4.3,-,24.99,84.91
14,臺北市,2015/06/29,士林,2.9,0.35,-,19.6,40,20,19.86,4.44,15.42,2.44,32.0,64.9
15,臺北市,2015/06/28,松山,2.6,0.44,417.3,21.7,34,18,23.17,7.04,16.13,2.42,32.43,60.79
16,臺北市,2015/06/28,古亭,2.1,0.39,-,20.8,46,14,17.65,4.34,13.31,2.28,31.74,70.49
17,臺北市,2015/06/28,中山,4.0,0.63,-,16.9,37,17,30.65,11.16,19.49,1.98,33.18,61.41
18,臺北市,2015/06/28,大同,3.4,1.17,-,-,48,16,37.74,19.1,18.64,-,-,-
19,臺北市,2015/06/28,萬華,3.2,0.44,-,21.2,34,17,17.9,3.85,14.05,2.01,32.48,63.36
20,臺北市,2015/06/28,陽明,1.2,0.13,392.93,25.1,19,12,5.3,2.13,3.18,-,25.23,84.89
21,臺北市,2015/06/28,士林,3.0,0.27,-,21.0,35,15,15.61,2.55,13.06,2.92,32.08,64.84
22,臺北市,2015/06/27,松山,2.4,0.44,416.01,20.0,45,17,24.82,8.76,16.06,2.31,32.29,61.5
23,臺北市,2015/06/27,古亭,2.3,0.41,-,17.5,47,15,19.76,5.67,14.09,2.37,31.55,71.86
24,臺北市,2015/06/27,中山,3.8,0.65,-,15.3,48,17,31.3,11.79,19.52,2.27,32.92,62.7
25,臺北市,2015/06/27,大同,3.7,1.62,-,-,55,15,52.97,32.18,20.8,-,-,-
26,臺北市,2015/06/27,萬華,2.8,0.45,-,18.0,39,16,21.06,5.85,15.21,2.18,32.3,64.62
27,臺北市,2015/06/27,陽明,1.6,0.14,398.92,22.7,20,12,5.28,0.7,4.53,-,24.66,89.28
28,臺北市,2015/06/27,士林,3.0,0.26,-,21.3,43,16,15.2,2.74,12.46,2.64,32.0,65.01
29,臺北市,2015/06/26,松山,3.0,0.55,422.54,20.3,42,17,31.03,11.52,19.51,2.36,31.9,63.41
30,臺北市,2015/06/26,古亭,2.4,0.44,-,19.7,49,14,21.63,5.52,16.1,2.07,31.37,72.32
31,臺北市,2015/06/26,中山,3.2,0.91,-,14.0,47,18,44.26,18.94,25.32,2.05,32.75,63.66
32,臺北市,2015/06/26,大同,3.6,1.61,-,-,53,15,46.9,24.2,22.69,-,-,-
33,臺北市,2015/06/26,萬華,3.2,0.54,-,18.1,39,16,24.03,5.93,18.1,2.11,32.17,65.24
34,臺北市,2015/06/26,陽明,1.4,0.13,396.26,24.0,21,12,5.36,0.81,4.54,-,24.57,90.59
35,臺北市,2015/06/26,士林,3.2,0.28,-,22.4,42,15,17.22,4.13,13.09,2.68,31.76,66.24
36,臺北市,2015/06/25,松山,3.0,0.64,429.45,24.6,41,14,33.92,12.34,21.58,1.6,30.64,69.45
37,臺北市,2015/06/25,古亭,2.6,0.49,-,21.4,47,13,22.92,6.82,16.1,1.87,30.27,77.04
38,臺北市,2015/06/25,中山,3.4,0.79,-,17.7,38,15,39.31,14.52,24.79,1.78,31.33,69.89
39,臺北市,2015/06/25,大同,3.9,2.04,-,-,46,13,62.8,36.05,26.75,-,-,-
40,臺北市,2015/06/25,萬華,2.0,0.58,-,23.3,34,14,23.65,5.11,18.54,1.56,30.97,70.3
41,臺北市,2015/06/25,陽明,1.7,0.15,408.8,27.7,18,11,6.1,1.29,4.81,-,24.28,90.93
42,臺北市,2015/06/25,士林,2.9,0.44,-,23.1,35,13,20.18,3.85,16.33,1.93,30.54,72.28
43,臺北市,2015/06/24,松山,3.9,0.58,429.91,18.4,25,14,31.27,7.56,23.71,1.17,28.56,79.46
44,臺北市,2015/06/24,古亭,3.1,0.6,-,19.8,38,14,28.68,6.63,22.05,1.25,28.3,88.74
45,臺北市,2015/06/24,中山,3.7,0.86,-,16.9,33,14,48.15,15.16,32.98,1.33,29.1,81.94
46,臺北市,2015/06/24,大同,3.8,2.19,-,-,48,18,90.82,51.74,39.08,-,-,-
47,臺北市,2015/06/24,萬華,2.4,0.68,-,21.8,24,12,33.15,7.04,26.11,1.14,29.06,81.02
48,臺北市,2015/06/24,陽明,2.2,0.15,410.39,35.0,13,9,4.7,1.0,3.69,-,23.49,97.04
49,臺北市,2015/06/24,士林,2.3,0.51,-,26.7,24,11,23.36,3.49,19.86,1.54,28.55,80.78
50,臺北市,2015/06/23,松山,3.8,0.54,426.39,20.9,25,12,29.12,8.72,20.4,1.45,29.17,74.54
51,臺北市,2015/06/23,古亭,3.0,0.56,-,18.7,34,11,27.64,6.56,21.08,1.63,28.55,81.17
52,臺北市,2015/06/23,中山,3.0,0.69,-,15.6,26,11,35.61,9.65,25.96,1.74,29.62,75.98
53,臺北市,2015/06/23,大同,4.0,2.01,-,-,45,15,81.25,51.0,30.24,-,-,-
54,臺北市,2015/06/23,萬華,3.3,0.56,-,18.5,30,12,28.7,6.01,22.69,1.35,29.32,75.69
55,臺北市,2015/06/23,陽明,1.3,0.13,405.42,31.1,11,10,3.39,0.93,2.46,-,23.47,92.01
56,臺北市,2015/06/23,士林,3.3,0.47,-,18.9,26,15,26.82,6.06,20.77,1.56,29.26,74.91
57,臺北市,2015/06/22,松山,4.9,0.49,432.86,22.1,38,18,27.64,7.48,20.16,1.28,29.33,73.58
58,臺北市,2015/06/22,古亭,3.7,0.54,-,21.9,40,13,24.51,6.28,18.24,1.62,29.02,83.74
59,臺北市,2015/06/22,中山,5.7,0.59,-,20.2,30,14,30.31,7.09,23.23,1.63,30.1,72.41
60,臺北市,2015/06/22,大同,6.7,2.29,-,-,46,15,91.28,60.23,31.05,-,-,-
61,臺北市,2015/06/22,萬華,5.1,0.56,-,19.4,30,14,28.73,7.23,21.5,1.31,29.83,71.62
62,臺北市,2015/06/22,陽明,2.1,0.15,409.72,30.7,13,12,3.64,0.92,2.71,-,23.29,88.93
63,臺北市,2015/06/22,士林,2.7,0.4,-,20.1,24,15,21.13,5.15,15.99,1.63,29.78,71.57
64,臺北市,2015/06/21,松山,3.1,0.38,427.92,27.2,28,18,19.29,3.9,15.39,1.52,29.41,74.26
65,臺北市,2015/06/21,古亭,3.0,0.41,-,25.1,41,16,18.6,2.83,15.77,1.88,29.04,83.35
66,臺北市,2015/06/21,中山,2.0,0.53,-,24.9,34,18,26.84,5.65,21.19,1.62,30.03,75.69
67,臺北市,2015/06/21,大同,3.6,1.31,-,-,49,21,62.11,32.57,29.55,-,-,-
68,臺北市,2015/06/21,萬華,3.2,0.49,-,28.0,29,20,23.71,3.86,19.86,1.44,29.71,75.42
69,臺北市,2015/06/21,陽明,2.1,0.17,413.77,33.1,17,16,4.98,1.26,3.72,-,23.51,91.9
70,臺北市,2015/06/21,士林,2.4,0.31,-,28.1,29,17,14.25,2.86,11.39,1.38,29.43,74.09
71,臺北市,2015/06/20,松山,4.3,0.36,421.02,28.3,31,18,16.63,3.23,13.4,2.0,29.74,71.89
72,臺北市,2015/06/20,古亭,3.4,0.35,-,23.5,46,18,17.44,2.61,14.84,2.04,29.73,82.19
73,臺北市,2015/06/20,中山,2.2,0.42,-,23.7,38,17,20.82,4.28,16.55,2.17,30.63,72.22
74,臺北市,2015/06/20,大同,3.0,1.02,-,-,47,16,41.22,19.34,21.88,-,-,-
75,臺北市,2015/06/20,萬華,3.2,0.38,-,24.5,32,19,20.29,3.91,16.38,1.75,30.34,72.04
76,臺北市,2015/06/20,陽明,1.2,0.14,407.57,29.4,14,11,4.3,1.3,2.99,-,23.64,89.86
77,臺北市,2015/06/20,士林,2.6,0.23,-,31.6,29,14,11.6,3.92,7.68,2.17,30.03,71.09
78,臺北市,2015/06/19,松山,3.6,0.36,421.89,27.6,28,16,19.64,3.94,15.7,1.91,30.44,69.34
79,臺北市,2015/06/19,古亭,2.6,0.41,-,23.3,40,15,18.94,3.22,15.72,2.07,30.3,79.56
80,臺北市,2015/06/19,中山,4.4,0.49,-,22.7,36,15,25.69,5.86,19.83,2.03,31.4,69.33
81,臺北市,2015/06/19,大同,4.6,1.06,-,-,49,13,47.41,22.33,25.08,-,-,-
82,臺北市,2015/06/19,萬華,2.9,0.41,-,26.1,30,17,20.86,3.45,17.41,1.78,31.13,68.45
83,臺北市,2015/06/19,陽明,2.0,0.14,406.38,29.1,16,13,5.58,0.97,4.6,-,23.39,92.37
84,臺北市,2015/06/19,士林,2.9,0.25,-,27.7,32,13,14.36,3.17,11.19,1.99,30.48,71.26
85,臺北市,2015/06/18,松山,3.4,0.58,431.65,23.5,36,18,34.5,8.97,25.52,2.06,31.52,59.93
86,臺北市,2015/06/18,古亭,3.2,0.53,-,22.4,38,12,25.92,5.17,20.75,2.16,31.19,71.93
87,臺北市,2015/06/18,中山,4.2,0.82,-,17.1,39,16,41.38,14.31,27.07,1.92,32.37,60.33
88,臺北市,2015/06/18,大同,4.4,1.69,-,-,48,15,58.24,27.54,30.7,-,-,-
89,臺北市,2015/06/18,萬華,3.8,0.59,-,23.2,36,15,27.24,5.38,21.85,1.7,31.9,61.52
90,臺北市,2015/06/18,陽明,3.2,0.16,404.14,32.0,18,14,8.19,1.32,6.87,-,24.33,80.22
91,臺北市,2015/06/18,士林,4.0,0.37,-,23.3,41,16,21.41,4.16,17.25,2.14,31.23,63.17
92,臺北市,2015/06/17,松山,3.9,0.56,438.05,27.1,39,19,31.86,8.51,23.35,1.84,30.94,66.25
93,臺北市,2015/06/17,古亭,3.3,0.48,-,20.1,45,13,20.95,4.29,16.66,2.19,30.54,56.05
94,臺北市,2015/06/17,中山,4.9,0.76,-,23.3,41,18,36.38,11.28,25.1,1.76,32.35,64.3
95,臺北市,2015/06/17,大同,4.9,1.93,-,-,53,18,62.3,31.77,30.53,-,-,-
96,臺北市,2015/06/17,萬華,3.4,0.55,-,26.8,34,16,23.1,4.42,18.68,1.56,32.07,64.37
97,臺北市,2015/06/17,陽明,2.3,0.16,405.85,35.6,18,13,6.78,1.31,5.48,-,24.13,88.01
98,臺北市,2015/06/17,士林,3.4,0.41,-,24.8,40,16,19.68,3.48,16.2,2.14,31.31,66.51
99,臺北市,2015/06/16,松山,7.4,0.55,436.92,28.6,44,17,30.57,6.87,23.7,1.66,30.27,69.23
100,臺北市,2015/06/16,古亭,4.3,0.59,-,21.0,-,-,26.91,4.95,21.96,-,-,-
101,臺北市,2015/06/16,中山,5.8,0.73,-,19.5,44,18,38.09,9.36,28.73,1.72,31.14,69.86
102,臺北市,2015/06/16,大同,5.3,2.14,-,-,56,16,79.77,43.71,36.06,-,-,-
103,臺北市,2015/06/16,萬華,4.2,0.55,-,23.9,34,15,24.37,4.97,19.4,1.43,31.36,67.12
104,臺北市,2015/06/16,陽明,1.9,0.18,405.47,31.5,20,15,7.23,1.32,5.92,-,23.57,90.5
105,臺北市,2015/06/16,士林,3.3,0.43,-,12.7,36,13,22.71,5.1,17.61,1.6,30.22,71.17
106,臺北市,2015/06/15,松山,3.8,0.55,436.23,21.1,34,15,28.6,6.72,21.89,1.35,28.99,75.52
107,臺北市,2015/06/15,古亭,5.0,0.58,-,15.4,-,-,28.15,7.19,20.97,-,-,-
108,臺北市,2015/06/15,中山,4.7,0.74,-,14.0,34,18,39.34,10.0,29.35,1.59,29.87,76.4
109,臺北市,2015/06/15,大同,4.8,1.9,-,-,52,16,79.34,45.14,34.2,-,-,-
110,臺北市,2015/06/15,萬華,5.0,0.59,-,19.4,32,16,31.15,6.02,25.14,1.54,29.83,74.2
111,臺北市,2015/06/15,陽明,1.6,0.18,408.44,22.4,15,11,6.78,1.33,5.45,-,22.97,90.6
112,臺北市,2015/06/15,士林,3.3,0.39,-,15.7,26,13,20.18,4.74,15.44,1.91,29.13,75.94
113,臺北市,2015/06/14,松山,2.5,0.61,441.28,30.5,34,16,28.76,5.55,23.21,1.24,28.27,78.64
114,臺北市,2015/06/14,古亭,-,-,-,-,-,-,-,-,-,-,-,-
115,臺北市,2015/06/14,中山,2.6,0.56,-,27.8,29,18,26.77,5.37,21.4,1.81,29.43,76.28
116,臺北市,2015/06/14,大同,2.9,1.6,-,-,48,15,71.17,37.75,33.42,-,-,-
117,臺北市,2015/06/14,萬華,1.7,0.54,-,32.0,29,15,23.42,3.06,20.36,1.49,28.91,76.68
118,臺北市,2015/06/14,陽明,2.6,0.16,406.16,31.2,16,13,5.13,0.86,4.25,-,23.04,92.19
119,臺北市,2015/06/14,士林,2.8,0.46,-,27.3,32,16,22.33,4.28,18.05,1.61,28.65,77.15
120,臺北市,2015/06/13,松山,2.8,0.58,435.95,28.8,35,16,28.5,6.36,22.14,1.35,28.82,73.74
121,臺北市,2015/06/13,古亭,2.3,0.53,-,23.5,45,15,25.71,6.63,19.08,1.81,29.07,74.61
