序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1993/12/31,松山,7.5,0.93,13.0,-,85,38,9.78,27.81,-,-,-,15.09,-,-,68.0
2,臺北市,1993/12/31,古亭,3.3,1.27,5.2,-,96,59,20.18,37.77,2.32,0.23,2.08,15.25,-,-,73.0
3,臺北市,1993/12/31,中山,6.4,1.04,11.6,-,81,46,14.63,31.44,2.29,0.19,2.09,15.36,-,-,65.0
4,臺北市,1993/12/31,大同,17.1,5.34,-,-,176,284,234.63,52.9,4.33,2.45,1.88,15.84,-,-,113.0
5,臺北市,1993/12/31,萬華,8.3,1.13,11.3,-,65,40,8.93,30.51,-,-,-,15.19,-,-,58.0
6,臺北市,1993/12/31,陽明,2.0,0.35,37.4,-,28,2,0.15,2.12,-,-,-,7.36,-,97.0,39.0
7,臺北市,1993/12/31,士林,3.0,0.6,23.9,-,81,19,3.39,13.61,-,-,-,15.22,-,-,65.0
8,臺北市,1993/12/30,松山,16.4,1.37,10.7,-,94,71,23.8,45.31,-,-,-,21.13,-,-,71.0
9,臺北市,1993/12/30,古亭,3.4,1.83,5.1,-,100,84,34.33,48.56,2.72,0.81,1.93,21.93,-,-,75.0
10,臺北市,1993/12/30,中山,12.0,1.46,12.7,-,87,72,25.88,45.57,2.67,0.5,2.16,21.77,-,-,68.0
11,臺北市,1993/12/30,大同,19.0,4.78,-,-,175,198,143.14,55.9,4.43,2.41,2.02,21.62,-,-,113.0
12,臺北市,1993/12/30,萬華,11.8,1.52,15.9,-,75,63,18.51,44.07,-,-,-,21.59,-,-,63.0
13,臺北市,1993/12/30,陽明,3.9,0.23,43.9,-,-,4,0.04,3.14,-,-,-,15.82,-,87.0,80.0
14,臺北市,1993/12/30,士林,11.2,0.65,26.6,-,79,33,5.56,25.32,-,-,-,21.53,-,-,65.0
15,臺北市,1993/12/29,松山,9.2,1.19,4.5,-,48,71,35.35,35.46,-,-,-,17.73,-,-,48.0
16,臺北市,1993/12/29,古亭,1.2,1.08,3.3,-,34,55,21.76,32.54,1.98,0.39,1.58,18.37,-,-,34.0
17,臺北市,1993/12/29,中山,7.9,1.61,4.9,-,50,84,49.2,34.71,2.59,0.53,2.06,18.22,-,-,50.0
18,臺北市,1993/12/29,大同,46.6,6.59,-,-,171,300,255.3,47.1,5.71,3.77,1.94,18.8,-,-,110.0
19,臺北市,1993/12/29,萬華,3.1,1.17,8.4,-,15,42,13.01,27.48,-,-,-,18.25,-,-,17.0
20,臺北市,1993/12/29,陽明,0.7,0.19,36.8,-,-,1,0.2,-,-,-,-,12.1,-,100.0,33.0
21,臺北市,1993/12/29,士林,2.9,0.49,20.8,-,28,18,3.28,12.79,-,-,-,18.89,-,-,28.0
22,臺北市,1993/12/28,松山,6.4,0.93,8.9,-,61,51,20.85,29.82,-,-,-,16.85,-,-,56.0
23,臺北市,1993/12/28,古亭,1.0,0.85,7.0,-,51,40,11.39,27.57,2.1,0.28,1.85,17.33,-,-,51.0
24,臺北市,1993/12/28,中山,5.3,1.35,5.8,-,66,73,37.0,35.68,2.18,0.36,1.82,17.44,-,-,58.0
25,臺北市,1993/12/28,大同,83.1,5.48,-,-,138,269,223.86,47.58,4.35,2.47,1.88,17.86,-,-,94.0
26,臺北市,1993/12/28,萬華,1.7,0.91,14.9,-,31,29,7.79,20.02,-,-,-,17.32,-,-,31.0
27,臺北市,1993/12/28,陽明,0.1,0.21,38.9,-,-,1,0.15,-,-,-,-,9.67,-,94.0,33.0
28,臺北市,1993/12/28,士林,8.3,0.4,23.0,-,48,17,3.53,12.17,-,-,-,17.62,-,-,48.0
29,臺北市,1993/12/27,松山,5.3,0.71,14.8,-,128,38,12.15,25.37,-,-,-,15.5,-,-,89.0
30,臺北市,1993/12/27,古亭,2.1,0.76,8.2,-,115,39,8.84,29.24,2.16,0.21,1.89,15.77,-,-,83.0
31,臺北市,1993/12/27,中山,7.2,1.11,10.4,-,123,61,27.48,33.53,2.31,0.35,1.96,15.94,-,-,86.0
32,臺北市,1993/12/27,大同,83.6,5.3,-,-,216,282,234.59,50.3,4.61,2.73,1.88,16.37,-,-,133.0
33,臺北市,1993/12/27,萬華,2.5,0.77,19.2,-,98,26,5.54,18.35,-,-,-,15.83,-,-,74.0
34,臺北市,1993/12/27,陽明,1.2,0.23,37.8,-,-,2,0.16,-,-,-,-,7.63,-,84.0,51.0
35,臺北市,1993/12/27,士林,2.2,0.44,25.2,-,104,18,3.66,12.24,-,-,-,15.59,-,-,77.0
