序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1994/02/28,松山,4.6,0.95,15.9,-,16,52,17.43,33.76,-,-,-,14.6,-,-,27.0
2,臺北市,1994/02/28,古亭,3.5,1.5,10.0,-,19,76,36.11,38.36,2.06,0.38,1.78,14.9,-,-,23.0
3,臺北市,1994/02/28,中山,3.2,1.76,8.4,-,20,86,41.4,42.29,2.49,0.45,2.05,15.23,-,-,27.0
4,臺北市,1994/02/28,大同,10.4,7.1,-,-,86,325,-,71.0,5.07,3.22,1.84,15.69,-,-,114.0
5,臺北市,1994/02/28,萬華,3.6,1.5,10.2,-,15,55,15.97,37.65,-,-,-,14.94,-,-,23.0
6,臺北市,1994/02/28,陽明,0.0,0.21,44.9,-,-,1,0.31,0.45,-,-,-,9.15,-,100.0,40.0
7,臺北市,1994/02/28,士林,1.8,1.05,13.1,-,-,55,21.74,31.08,-,-,-,15.2,-,-,26.0
8,臺北市,1994/02/27,松山,4.3,1.27,6.5,-,21,78,35.19,42.62,-,-,-,14.91,-,-,21.0
9,臺北市,1994/02/27,古亭,3.6,2.03,4.5,-,20,115,67.42,46.09,2.67,0.45,2.29,14.95,-,-,32.0
10,臺北市,1994/02/27,中山,6.1,2.64,1.3,-,32,161,102.04,52.49,3.1,0.74,2.36,14.92,-,-,39.0
11,臺北市,1994/02/27,大同,8.3,5.66,-,-,63,287,257.31,63.55,4.49,2.3,2.2,15.06,-,-,91.0
12,臺北市,1994/02/27,萬華,3.5,2.01,2.7,-,24,94,47.63,45.43,-,-,-,14.67,-,-,31.0
13,臺北市,1994/02/27,陽明,0.2,0.31,45.5,-,-,1,0.04,0.41,-,-,-,10.14,-,100.0,39.0
14,臺北市,1994/02/27,士林,2.6,1.82,2.6,-,-,111,62.42,43.53,-,-,-,14.63,-,-,28.0
15,臺北市,1994/02/26,松山,4.3,1.23,10.8,-,18,67,28.77,37.45,-,-,-,12.84,-,-,26.0
16,臺北市,1994/02/26,古亭,2.4,1.86,9.3,-,18,99,58.04,39.62,2.54,0.68,2.05,12.9,-,-,34.0
17,臺北市,1994/02/26,中山,4.1,2.05,6.3,-,25,112,60.86,44.22,2.53,0.66,1.95,13.09,-,-,34.0
18,臺北市,1994/02/26,大同,8.0,5.62,-,-,81,283,227.35,58.22,4.44,2.47,1.97,13.46,-,-,86.0
19,臺北市,1994/02/26,萬華,3.6,1.45,10.0,-,19,63,25.41,36.62,-,-,-,12.81,-,-,27.0
20,臺北市,1994/02/26,陽明,0.2,0.24,43.8,-,-,1,0.03,0.43,-,-,-,7.05,-,100.0,38.0
21,臺北市,1994/02/26,士林,1.0,0.84,16.4,-,18,42,14.84,25.62,-,-,-,13.24,-,-,30.0
