序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1995/05/31,松山,12.1,1.16,14.8,-,64,49,17.17,31.55,-,-,-,29.73,-,-,57.0
2,臺北市,1995/05/31,古亭,11.0,1.18,14.5,-,47,46,19.05,27.1,-,-,-,29.76,-,-,49.0
3,臺北市,1995/05/31,中山,11.1,1.18,12.2,-,54,46,19.31,26.22,2.98,0.63,2.36,29.47,-,-,52.0
4,臺北市,1995/05/31,大同,14.0,2.66,-,-,65,99,62.81,36.27,3.74,1.37,2.37,30.19,-,-,57.0
5,臺北市,1995/05/31,萬華,9.4,1.0,15.4,-,76,35,9.61,25.27,-,-,-,29.28,-,-,63.0
6,臺北市,1995/05/31,陽明,9.5,0.32,33.9,-,14,5,0.55,4.92,-,-,-,23.2,-,81.0,42.0
7,臺北市,1995/05/31,士林,6.2,0.81,14.0,-,52,36,11.01,24.81,-,-,-,28.79,-,-,51.0
8,臺北市,1995/05/30,松山,14.0,1.49,32.3,-,90,60,17.62,42.49,-,-,-,29.2,-,-,95.0
9,臺北市,1995/05/30,古亭,12.6,1.49,30.3,-,72,54,16.7,37.77,-,-,-,29.42,-,-,123.0
10,臺北市,1995/05/30,中山,10.2,1.52,14.3,-,65,54,19.26,35.08,3.24,0.76,2.48,29.08,-,-,74.0
11,臺北市,1995/05/30,大同,16.8,3.51,-,-,97,136,87.31,48.49,3.86,1.56,2.3,30.37,-,-,74.0
12,臺北市,1995/05/30,萬華,11.6,1.12,29.1,-,73,34,5.02,29.24,-,-,-,29.43,-,-,145.0
13,臺北市,1995/05/30,陽明,11.1,0.36,39.5,-,23,6,0.32,5.34,-,-,-,22.58,-,83.0,63.0
14,臺北市,1995/05/30,士林,7.0,1.08,15.7,-,66,48,14.59,33.02,-,-,-,28.98,-,-,65.0
15,臺北市,1995/05/29,松山,14.3,1.74,29.0,-,94,68,24.56,43.88,-,-,-,28.4,-,-,88.0
16,臺北市,1995/05/29,古亭,8.7,1.49,21.7,-,80,56,19.83,36.46,2.61,0.37,2.24,29.02,-,-,65.0
17,臺北市,1995/05/29,中山,13.8,1.87,16.2,-,85,68,25.87,41.71,3.4,0.82,2.58,29.08,-,-,68.0
18,臺北市,1995/05/29,大同,19.8,4.85,-,-,110,181,123.96,57.42,4.89,2.23,2.65,30.01,-,-,92.0
19,臺北市,1995/05/29,萬華,9.6,1.17,23.3,-,80,35,4.27,30.85,-,-,-,28.83,-,-,65.0
20,臺北市,1995/05/29,陽明,8.2,0.36,54.1,-,30,4,0.48,3.88,-,-,-,23.77,-,80.0,73.0
21,臺北市,1995/05/29,士林,8.1,1.34,12.2,-,85,58,21.43,36.68,-,-,-,28.48,-,-,67.0
22,臺北市,1995/05/28,松山,8.6,1.38,20.9,-,87,57,21.06,36.3,-,-,-,27.93,-,-,72.0
23,臺北市,1995/05/28,古亭,8.2,1.47,17.6,-,93,60,26.99,33.21,2.75,0.47,2.29,28.19,-,-,72.0
24,臺北市,1995/05/28,中山,12.8,1.52,18.9,-,92,60,26.96,33.07,3.13,0.69,2.44,28.09,-,-,71.0
25,臺北市,1995/05/28,大同,15.3,3.05,-,-,100,118,71.87,46.18,4.01,1.21,2.8,28.8,-,-,75.0
26,臺北市,1995/05/28,萬華,15.0,1.24,20.2,-,85,45,15.59,29.88,-,-,-,28.18,-,-,68.0
27,臺北市,1995/05/28,陽明,3.6,0.38,54.4,-,35,3,0.07,2.87,-,-,-,22.34,-,83.0,68.0
28,臺北市,1995/05/28,士林,5.9,1.31,21.2,-,72,53,23.72,29.22,-,-,-,27.65,-,-,61.0
29,臺北市,1995/05/27,松山,12.0,1.12,10.5,-,68,58,25.87,32.59,-,-,-,27.25,-,-,59.0
30,臺北市,1995/05/27,古亭,11.9,1.36,9.9,-,87,58,24.84,33.24,2.89,0.54,2.34,27.51,-,-,68.0
31,臺北市,1995/05/27,中山,9.6,1.27,10.3,-,57,51,23.8,27.5,2.65,0.45,2.19,27.76,-,-,53.0
32,臺北市,1995/05/27,大同,14.2,3.54,-,-,73,140,101.3,38.31,4.11,1.47,2.64,28.63,-,-,74.0
33,臺北市,1995/05/27,萬華,11.7,1.28,9.7,-,66,45,17.83,27.38,-,-,-,27.84,-,-,58.0
34,臺北市,1995/05/27,陽明,1.2,0.32,28.3,-,20,3,0.12,2.29,-,-,-,22.19,-,86.0,47.0
35,臺北市,1995/05/27,士林,2.9,0.88,10.0,-,49,40,17.39,22.64,-,-,-,27.25,-,-,49.0
36,臺北市,1995/05/26,松山,16.8,1.93,32.3,-,119,80,30.93,49.33,-,-,-,27.32,-,-,145.0
37,臺北市,1995/05/26,古亭,6.0,1.57,28.1,-,104,62,23.62,38.07,2.64,0.58,2.06,28.04,-,-,110.0
38,臺北市,1995/05/26,中山,12.3,1.97,20.7,-,107,74,31.27,43.16,3.22,0.77,2.45,27.84,-,-,88.0
39,臺北市,1995/05/26,大同,17.8,4.54,-,-,137,168,108.14,61.3,4.64,2.05,2.59,28.54,-,-,101.0
40,臺北市,1995/05/26,萬華,7.3,1.56,25.8,-,93,45,10.45,34.31,-,-,-,27.66,-,-,112.0
41,臺北市,1995/05/26,陽明,4.2,0.38,46.2,-,36,4,0.09,4.16,-,-,-,22.62,-,86.0,92.0
42,臺北市,1995/05/26,士林,8.0,1.37,21.5,-,94,59,23.58,35.04,-,-,-,27.69,-,-,103.0
43,臺北市,1995/05/25,松山,25.0,2.53,20.5,-,122,107,50.47,56.51,-,-,-,26.53,-,-,86.0
44,臺北市,1995/05/25,古亭,9.0,1.89,17.5,-,87,75,31.15,44.12,3.0,0.78,2.22,27.31,-,-,69.0
