序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
33,臺北市,2014/05/27,萬華,3.1,0.9,-,23.4,37,32,34.58,5.7,28.88,1.2,27.76,83.18
34,臺北市,2014/05/27,陽明,1.0,0.2,402.41,46.6,15,11,4.93,1.17,3.77,-,22.14,99.0
35,臺北市,2014/05/27,士林,2.8,0.49,-,38.5,35,26,15.21,1.52,13.67,1.76,27.36,82.54
36,臺北市,2014/05/26,松山,2.7,0.48,429.4,22.3,28,16,23.52,7.24,16.28,1.99,28.69,69.85
37,臺北市,2014/05/26,古亭,2.4,0.48,-,18.6,35,13,24.48,7.28,17.2,2.13,28.91,70.3
38,臺北市,2014/05/26,中山,2.0,0.74,-,17.0,49,15,35.59,12.33,23.26,2.07,29.7,69.28
39,臺北市,2014/05/26,大同,3.7,1.38,-,-,53,14,55.58,29.95,25.64,-,-,-
40,臺北市,2014/05/26,萬華,2.9,0.57,-,20.1,31,17,24.85,4.93,19.92,1.81,29.42,70.22
41,臺北市,2014/05/26,陽明,2.1,0.16,394.36,26.6,15,9,6.34,1.95,4.39,-,23.09,94.29
42,臺北市,2014/05/26,士林,3.2,0.44,-,22.5,24,12,19.64,5.6,14.03,2.23,29.01,73.0
43,臺北市,2014/05/25,松山,1.3,0.6,435.19,20.0,26,13,28.84,10.32,18.52,1.12,27.8,71.13
44,臺北市,2014/05/25,古亭,2.1,0.55,-,17.0,32,12,27.32,10.3,17.02,1.58,27.53,74.92
45,臺北市,2014/05/25,中山,2.9,0.58,-,19.3,45,16,29.78,8.41,21.37,1.57,28.8,70.37
46,臺北市,2014/05/25,大同,3.7,2.15,-,-,45,12,90.17,61.3,28.86,-,-,-
47,臺北市,2014/05/25,萬華,2.2,0.57,-,20.2,24,12,25.14,7.11,18.03,1.19,28.45,72.06
48,臺北市,2014/05/25,陽明,2.4,0.18,399.57,29.3,16,13,6.44,1.62,4.82,-,22.68,95.01
49,臺北市,2014/05/25,士林,2.7,0.53,-,24.4,20,15,23.77,5.38,18.39,1.41,28.4,72.1
50,臺北市,2014/05/24,松山,1.1,0.41,418.32,24.1,16,8,19.77,5.89,13.87,1.3,26.87,74.66
51,臺北市,2014/05/24,古亭,1.8,0.59,-,23.5,26,10,30.88,9.69,21.18,1.57,27.08,77.72
52,臺北市,2014/05/24,中山,1.9,0.55,-,28.0,37,12,33.4,9.21,24.19,1.75,28.06,72.53
53,臺北市,2014/05/24,大同,3.8,1.62,-,-,43,11,77.2,44.12,33.08,-,-,-
54,臺北市,2014/05/24,萬華,2.1,0.6,-,30.9,22,13,29.76,6.39,23.38,1.53,27.96,72.85
55,臺北市,2014/05/24,陽明,1.9,0.15,396.26,43.1,13,10,5.23,1.61,3.62,-,21.84,95.31
56,臺北市,2014/05/24,士林,2.7,0.35,-,45.9,23,15,14.85,2.27,12.59,1.84,28.04,71.5
57,臺北市,2014/05/23,松山,2.0,0.62,431.47,16.4,22,12,34.94,10.31,24.63,1.46,24.55,86.49
58,臺北市,2014/05/23,古亭,3.2,0.79,-,13.0,34,-,41.79,12.65,29.14,1.56,24.77,93.11
59,臺北市,2014/05/23,中山,2.9,0.87,-,15.4,45,15,45.53,15.78,29.75,1.71,25.34,86.84
60,臺北市,2014/05/23,大同,3.8,1.82,-,-,45,10,77.84,42.98,34.86,-,-,-
61,臺北市,2014/05/23,萬華,3.5,0.85,-,14.3,25,-,43.46,11.92,31.54,1.46,25.31,86.97
62,臺北市,2014/05/23,陽明,1.3,0.14,399.58,36.6,8,6,2.58,0.88,1.68,-,20.15,98.78
63,臺北市,2014/05/23,士林,2.5,0.6,-,18.3,21,12,29.92,7.8,22.12,1.77,24.72,86.67
64,臺北市,2014/05/22,松山,1.8,1.0,451.25,12.4,27,18,58.38,20.18,38.2,1.08,23.59,86.27
65,臺北市,2014/05/22,古亭,1.6,0.93,-,13.1,37,-,47.96,15.91,32.04,1.05,23.77,92.78
66,臺北市,2014/05/22,中山,2.3,1.39,-,11.4,58,19,72.19,25.84,46.35,1.19,24.34,87.54
67,臺北市,2014/05/22,大同,4.3,2.53,-,-,52,15,117.18,65.34,51.84,-,-,-
68,臺北市,2014/05/22,萬華,2.1,1.24,-,13.0,31,-,68.29,25.02,43.27,0.88,24.35,87.22
69,臺北市,2014/05/22,陽明,1.3,0.16,403.53,33.2,10,8,4.76,1.24,3.52,-,20.34,98.91
70,臺北市,2014/05/22,士林,2.1,0.83,-,13.7,24,16,41.43,8.91,32.52,1.08,23.65,86.74
71,臺北市,2014/05/21,松山,1.3,0.61,434.17,24.4,37,26,57.16,17.01,40.16,1.8,19.53,87.1
72,臺北市,2014/05/21,古亭,1.3,0.71,-,32.4,42,-,36.48,6.76,29.7,2.03,19.68,94.54
73,臺北市,2014/05/21,中山,2.1,0.82,-,29.0,58,23,54.91,14.45,40.47,1.77,20.35,88.9
74,臺北市,2014/05/21,大同,2.7,1.48,-,-,56,20,92.16,43.51,48.65,-,-,-
75,臺北市,2014/05/21,萬華,2.1,0.79,-,31.5,39,-,52.47,13.55,38.92,2.29,20.37,87.48
76,臺北市,2014/05/21,陽明,1.3,0.23,416.02,61.9,22,16,2.49,1.5,0.98,-,16.81,95.37
77,臺北市,2014/05/21,士林,1.4,0.46,-,52.5,31,22,18.32,1.5,16.81,1.93,20.27,82.34
78,臺北市,2014/05/20,松山,2.1,0.7,440.53,11.5,25,12,40.2,18.94,21.27,1.55,24.9,85.49
79,臺北市,2014/05/20,古亭,2.5,0.75,-,9.2,30,-,40.23,18.06,22.17,1.24,24.81,94.3
80,臺北市,2014/05/20,中山,2.5,0.97,-,10.3,43,14,54.78,29.26,25.52,1.66,25.56,86.14
81,臺北市,2014/05/20,大同,3.9,1.95,-,-,42,9,97.18,67.63,29.55,-,-,-
82,臺北市,2014/05/20,萬華,3.2,0.86,-,10.5,21,11,46.04,21.22,24.82,1.37,25.53,86.79
83,臺北市,2014/05/20,陽明,1.2,0.14,417.44,31.4,9,6,3.76,1.62,2.13,-,20.86,97.88
84,臺北市,2014/05/20,士林,2.9,0.61,-,12.9,15,11,32.43,12.96,19.47,1.6,25.05,85.89
85,臺北市,2014/05/19,松山,3.1,0.83,447.15,4.3,25,13,49.26,24.79,24.47,1.12,25.85,85.06
86,臺北市,2014/05/19,古亭,2.8,0.88,-,3.5,44,10,46.87,23.05,23.82,1.09,26.24,87.26
87,臺北市,2014/05/19,中山,4.0,1.19,-,3.3,45,14,74.75,45.25,29.5,1.07,26.75,84.86
88,臺北市,2014/05/19,大同,4.7,1.82,-,-,47,12,98.45,69.32,29.13,-,-,-
89,臺北市,2014/05/19,萬華,4.1,1.01,-,3.4,26,12,52.38,25.23,27.14,0.93,26.8,84.34
90,臺北市,2014/05/19,陽明,1.5,0.13,405.87,17.9,8,6,7.24,1.47,5.74,-,21.25,98.68
91,臺北市,2014/05/19,士林,3.2,0.61,-,5.5,26,11,34.74,13.95,20.79,1.1,26.31,84.33
92,臺北市,2014/05/18,松山,2.4,0.62,436.8,10.8,23,17,33.88,16.19,17.69,1.82,28.22,71.08
93,臺北市,2014/05/18,古亭,2.2,0.59,-,9.3,36,13,27.18,11.54,15.63,1.64,27.96,75.77
94,臺北市,2014/05/18,中山,4.2,0.76,-,8.5,50,17,41.32,19.79,21.53,1.41,28.93,72.02
95,臺北市,2014/05/18,大同,4.2,1.63,-,-,51,12,66.61,43.04,23.57,-,-,-
96,臺北市,2014/05/18,萬華,3.0,0.65,-,10.2,27,13,30.56,12.79,17.77,1.35,28.6,73.87
97,臺北市,2014/05/18,陽明,1.8,0.14,394.48,17.3,12,8,7.77,2.17,5.61,-,21.66,97.87
98,臺北市,2014/05/18,士林,3.7,0.34,-,13.9,26,16,18.46,5.08,13.38,1.84,28.5,72.74
99,臺北市,2014/05/17,松山,1.5,0.74,443.73,21.3,42,26,30.45,10.06,20.4,1.6,27.13,75.69
100,臺北市,2014/05/17,古亭,2.0,0.69,-,17.3,55,25,26.76,5.73,21.03,1.53,27.41,78.18
101,臺北市,2014/05/17,中山,3.6,0.98,-,18.3,68,26,45.4,16.69,28.71,1.55,27.81,76.88
102,臺北市,2014/05/17,大同,2.9,1.54,-,-,66,23,56.93,26.09,30.84,-,-,-
103,臺北市,2014/05/17,萬華,2.7,0.85,-,20.2,46,29,32.83,8.02,24.81,1.3,27.73,77.48
104,臺北市,2014/05/17,陽明,1.4,0.21,396.61,28.1,19,14,6.79,1.41,5.38,-,21.93,97.08
105,臺北市,2014/05/17,士林,3.5,0.71,-,26.7,38,27,28.47,7.77,20.7,1.69,27.07,79.37
106,臺北市,2014/05/16,松山,4.8,0.78,434.25,43.4,72,46,32.48,7.75,24.73,1.76,23.6,84.01
107,臺北市,2014/05/16,古亭,4.5,0.84,-,38.3,80,45,35.03,7.96,27.07,1.76,24.33,85.09
108,臺北市,2014/05/16,中山,4.1,1.02,-,40.7,90,42,49.86,15.3,34.57,1.78,24.56,83.5
109,臺北市,2014/05/16,大同,4.5,1.99,-,-,89,39,92.15,44.95,47.2,-,-,-
110,臺北市,2014/05/16,萬華,4.9,0.97,-,42.9,70,47,46.29,11.95,34.34,1.99,24.56,83.1
111,臺北市,2014/05/16,陽明,1.2,0.29,404.28,48.9,19,14,4.43,1.6,2.82,-,20.51,99.0
112,臺北市,2014/05/16,士林,3.4,0.77,-,43.5,61,44,27.34,4.1,23.25,1.1,23.95,84.66
113,臺北市,2014/05/15,松山,0.9,0.66,436.75,23.5,25,16,29.19,10.71,18.48,1.65,26.59,73.54
114,臺北市,2014/05/15,古亭,1.6,0.63,-,17.7,35,15,28.62,10.36,18.26,1.52,26.02,81.89
115,臺北市,2014/05/15,中山,1.4,0.79,-,19.2,46,14,38.09,12.38,25.72,1.66,27.37,74.44
116,臺北市,2014/05/15,大同,3.2,2.13,-,-,52,14,89.28,54.64,34.63,-,-,-
117,臺北市,2014/05/15,萬華,2.2,0.7,-,21.4,21,14,32.78,9.53,23.25,1.61,26.91,76.61
118,臺北市,2014/05/15,陽明,1.1,0.2,403.93,33.3,9,6,4.32,1.02,3.29,-,21.35,95.64
119,臺北市,2014/05/15,士林,3.4,0.51,-,22.3,24,14,24.67,6.96,17.71,1.36,27.12,75.17
120,臺北市,2014/05/14,松山,1.2,0.68,441.75,9.4,37,14,35.77,14.58,21.2,2.5,29.73,60.29
121,臺北市,2014/05/14,古亭,2.1,0.49,-,12.8,43,12,23.57,8.65,14.92,2.43,29.88,62.51
122,臺北市,2014/05/14,中山,2.5,0.91,-,12.5,53,14,44.91,22.09,22.81,2.13,30.84,59.07
123,臺北市,2014/05/14,大同,3.3,2.11,-,-,50,11,72.4,47.11,25.29,-,-,-
124,臺北市,2014/05/14,萬華,2.1,0.54,-,15.8,28,13,23.84,6.83,17.01,2.23,30.39,60.72
125,臺北市,2014/05/14,陽明,2.0,0.13,396.11,22.4,10,6,7.03,2.47,4.57,-,23.53,85.16
126,臺北市,2014/05/14,士林,1.9,0.4,-,17.5,34,12,19.97,4.98,14.99,2.87,30.07,62.79
127,臺北市,2014/05/13,松山,4.2,0.79,433.28,20.2,44,25,36.29,7.97,28.33,1.42,26.3,79.04
128,臺北市,2014/05/13,古亭,4.6,0.78,-,17.4,50,21,34.56,5.9,28.69,1.26,26.76,80.65
129,臺北市,2014/05/13,中山,4.1,1.05,-,16.4,61,24,54.19,17.78,36.42,1.4,27.0,79.85
130,臺北市,2014/05/13,大同,5.1,1.47,-,-,55,16,68.45,30.71,37.75,-,-,-
131,臺北市,2014/05/13,萬華,4.9,0.94,-,18.2,47,25,45.49,11.34,34.15,1.14,26.94,80.03
132,臺北市,2014/05/13,陽明,2.0,0.19,400.97,28.5,13,10,6.8,0.87,5.93,-,21.03,98.46
133,臺北市,2014/05/13,士林,3.0,0.51,-,25.8,32,19,23.27,3.48,19.79,1.38,26.51,79.68
134,臺北市,2014/05/12,松山,2.4,0.73,451.31,19.4,31,19,37.28,11.61,25.68,1.36,26.73,76.68
135,臺北市,2014/05/12,古亭,2.4,0.72,-,18.5,39,15,33.15,8.88,24.27,1.3,27.07,77.29
136,臺北市,2014/05/12,中山,3.5,0.92,-,15.9,55,23,49.75,18.8,30.95,1.36,27.82,75.41
137,臺北市,2014/05/12,大同,4.5,1.81,-,-,52,14,76.53,41.5,35.03,-,-,-
138,臺北市,2014/05/12,萬華,3.2,0.82,-,13.2,31,19,39.45,12.0,27.45,1.11,27.61,75.85
139,臺北市,2014/05/12,陽明,2.0,0.15,399.18,31.6,13,9,5.9,0.98,4.91,-,21.91,94.78
140,臺北市,2014/05/12,士林,3.0,0.49,-,21.0,35,14,22.1,5.03,17.07,2.04,27.31,76.56
141,臺北市,2014/05/11,松山,2.3,0.64,444.83,32.9,32,20,26.79,5.76,21.03,1.17,26.78,70.07
142,臺北市,2014/05/11,古亭,3.3,0.64,-,29.1,38,18,27.53,4.86,22.67,1.18,27.13,72.54
143,臺北市,2014/05/11,中山,4.5,0.81,-,33.4,59,26,42.85,11.59,31.26,1.37,27.72,70.15
144,臺北市,2014/05/11,大同,4.2,1.42,-,-,58,18,67.15,28.93,38.22,-,-,-
145,臺北市,2014/05/11,萬華,2.7,0.75,-,34.2,32,22,34.77,5.42,29.35,0.97,27.46,71.2
146,臺北市,2014/05/11,陽明,3.1,0.22,409.77,52.7,18,14,6.22,0.68,5.51,-,21.96,90.81
147,臺北市,2014/05/11,士林,3.1,0.53,-,43.4,32,20,20.91,3.21,17.7,1.54,27.07,72.32
148,臺北市,2014/05/10,松山,3.0,0.76,452.71,29.7,38,22,33.3,9.12,24.18,1.14,24.57,79.71
149,臺北市,2014/05/10,古亭,3.3,0.71,-,26.4,47,19,30.72,6.98,23.74,1.13,24.79,83.15
150,臺北市,2014/05/10,中山,4.0,0.96,-,27.1,66,28,46.93,14.44,32.49,1.4,25.56,78.98
151,臺北市,2014/05/10,大同,5.7,1.83,-,-,60,21,79.38,40.0,39.38,-,-,-
152,臺北市,2014/05/10,萬華,4.4,0.89,-,26.4,37,24,42.31,11.52,30.79,1.23,25.36,79.3
153,臺北市,2014/05/10,陽明,1.5,0.21,412.85,45.9,15,12,4.66,0.7,3.94,-,20.08,96.87
154,臺北市,2014/05/10,士林,3.8,0.7,-,33.3,34,22,31.49,10.38,21.11,1.4,25.21,78.67
155,臺北市,2014/05/09,松山,1.7,0.67,426.73,21.1,21,14,32.62,9.3,23.32,1.24,23.63,83.94
156,臺北市,2014/05/09,古亭,2.2,0.86,-,16.4,33,13,44.02,13.31,30.71,1.19,23.94,88.62
157,臺北市,2014/05/09,中山,4.0,0.96,-,17.4,44,18,52.49,19.67,32.82,1.41,24.42,84.18
158,臺北市,2014/05/09,大同,3.9,2.02,-,-,48,15,103.07,61.91,41.16,-,-,-
159,臺北市,2014/05/09,萬華,3.1,0.95,-,18.2,28,17,51.11,15.4,35.71,1.54,24.22,84.27
160,臺北市,2014/05/09,陽明,1.1,0.23,412.81,45.8,9,7,3.11,0.77,2.34,-,19.07,97.76
161,臺北市,2014/05/09,士林,2.6,0.64,-,28.5,28,14,27.46,6.55,20.91,1.32,24.07,82.03
162,臺北市,2014/05/08,松山,3.1,0.74,438.93,21.3,37,21,32.99,6.95,26.04,1.48,23.33,78.73
163,臺北市,2014/05/08,古亭,4.4,0.85,-,17.8,48,21,39.71,9.92,29.79,1.6,23.62,82.76
164,臺北市,2014/05/08,中山,6.4,0.92,-,15.3,61,22,48.82,14.85,33.97,1.65,24.16,78.4
165,臺北市,2014/05/08,大同,6.1,1.61,-,-,51,16,71.98,34.43,37.55,-,-,-
166,臺北市,2014/05/08,萬華,5.3,0.81,-,18.8,35,21,42.7,8.83,33.87,1.59,23.93,78.74
167,臺北市,2014/05/08,陽明,1.7,0.2,412.24,49.9,10,7,3.19,1.45,1.73,-,18.74,91.28
168,臺北市,2014/05/08,士林,4.3,0.44,-,34.8,30,18,19.64,3.25,16.39,1.97,24.02,75.19
169,臺北市,2014/05/07,松山,1.2,0.86,442.77,19.1,31,18,45.7,13.48,32.22,1.37,21.38,86.48
170,臺北市,2014/05/07,古亭,3.5,1.06,-,11.5,43,19,53.98,16.28,37.69,1.21,21.34,94.95
171,臺北市,2014/05/07,中山,3.8,1.16,-,14.8,52,16,64.53,26.28,38.24,1.17,21.99,87.76
172,臺北市,2014/05/07,大同,4.1,1.91,-,-,52,15,78.01,38.25,39.76,-,-,-
173,臺北市,2014/05/07,萬華,3.8,0.99,-,14.3,31,18,49.39,13.25,36.15,0.99,21.78,87.54
174,臺北市,2014/05/07,陽明,1.2,0.19,415.64,50.7,6,3,3.17,1.73,1.44,-,17.28,98.96
175,臺北市,2014/05/07,士林,2.8,0.54,-,28.9,27,14,26.22,4.78,21.44,1.29,21.59,85.32
176,臺北市,2014/05/06,松山,1.1,0.49,423.34,34.4,28,14,28.83,4.05,24.78,1.96,17.63,86.84
177,臺北市,2014/05/06,古亭,2.0,0.51,-,33.2,29,11,29.59,4.24,25.35,2.55,17.89,93.56
178,臺北市,2014/05/06,中山,2.7,0.61,-,31.8,46,16,37.6,6.78,30.82,2.28,18.58,87.69
179,臺北市,2014/05/06,大同,3.3,1.6,-,-,50,12,94.22,50.62,43.6,-,-,-
180,臺北市,2014/05/06,萬華,2.3,0.5,-,34.4,28,13,33.71,4.45,29.25,2.59,18.39,85.63
181,臺北市,2014/05/06,陽明,1.1,0.19,418.94,64.8,9,4,3.41,2.11,1.3,-,12.94,98.91
182,臺北市,2014/05/06,士林,2.1,0.39,-,45.3,26,15,17.03,1.93,15.1,1.86,18.36,81.48
183,臺北市,2014/05/05,松山,0.5,0.39,418.2,51.4,34,18,15.49,1.77,13.72,2.51,19.1,79.29
184,臺北市,2014/05/05,古亭,1.5,0.43,-,40.5,44,16,21.53,2.38,19.15,2.43,19.32,85.07
185,臺北市,2014/05/05,中山,2.5,0.58,-,42.1,54,16,30.75,5.41,25.36,1.91,20.06,80.19
186,臺北市,2014/05/05,大同,2.7,1.29,-,-,53,14,73.83,33.81,40.02,-,-,-
187,臺北市,2014/05/05,萬華,1.7,0.45,-,45.7,34,17,24.85,2.88,21.97,2.48,19.8,78.97
188,臺北市,2014/05/05,陽明,1.3,0.22,393.69,66.9,15,11,2.73,1.18,1.54,-,13.36,98.78
189,臺北市,2014/05/05,士林,1.5,0.32,-,57.1,26,15,11.01,0.93,10.07,1.99,19.66,76.66
190,臺北市,2014/05/04,松山,0.6,0.56,423.44,39.5,52,30,22.43,3.87,18.56,1.2,24.11,68.39
191,臺北市,2014/05/04,古亭,1.7,0.69,-,32.5,60,25,29.2,4.85,24.35,1.15,24.19,72.19
192,臺北市,2014/05/04,中山,2.6,0.7,-,35.6,68,28,35.0,5.31,29.69,1.36,25.06,68.67
193,臺北市,2014/05/04,大同,3.2,1.63,-,-,69,25,80.85,41.66,39.19,-,-,-
194,臺北市,2014/05/04,萬華,2.0,0.68,-,37.2,51,32,30.45,3.86,26.59,1.19,24.79,69.06
195,臺北市,2014/05/04,陽明,1.4,0.28,391.87,50.9,24,19,3.55,0.5,3.05,-,18.75,97.17
196,臺北市,2014/05/04,士林,1.7,0.41,-,47.9,44,27,16.39,2.26,14.12,1.28,24.6,70.65
197,臺北市,2014/05/03,松山,0.9,0.4,417.15,56.0,37,21,13.62,1.71,11.91,2.66,22.83,66.58
198,臺北市,2014/05/03,古亭,1.6,0.38,-,49.1,44,18,14.85,2.49,12.35,3.35,23.32,67.23
199,臺北市,2014/05/03,中山,2.0,0.5,-,50.1,54,22,22.6,2.68,19.92,3.0,23.75,66.96
200,臺北市,2014/05/03,大同,1.8,0.91,-,-,54,19,48.33,15.73,32.6,-,-,-
201,臺北市,2014/05/03,萬華,1.6,0.42,-,51.2,36,21,21.08,2.62,18.46,3.66,23.52,66.3
202,臺北市,2014/05/03,陽明,2.0,0.23,396.26,67.6,22,17,2.23,0.7,1.47,-,16.7,93.3
203,臺北市,2014/05/03,士林,1.8,0.29,-,67.0,37,18,7.4,0.96,6.43,3.36,23.52,65.1
204,臺北市,2014/05/02,松山,2.8,0.52,424.79,35.3,36,22,20.6,3.38,17.21,1.99,23.34,80.4
205,臺北市,2014/05/02,古亭,1.9,0.62,-,24.0,40,14,28.72,6.58,22.14,2.26,24.01,81.91
206,臺北市,2014/05/02,中山,3.2,0.72,-,27.4,55,20,35.44,7.74,27.71,1.9,24.28,80.3
207,臺北市,2014/05/02,大同,3.9,1.34,-,-,51,15,69.65,34.05,35.6,-,-,-
208,臺北市,2014/05/02,萬華,3.0,0.59,-,27.7,31,17,32.03,5.97,26.06,2.49,24.14,79.37
209,臺北市,2014/05/02,陽明,1.7,0.25,400.7,54.7,10,9,3.78,1.35,2.43,-,18.42,98.51
210,臺北市,2014/05/02,士林,1.2,0.47,-,35.0,28,15,16.6,2.67,13.93,1.87,24.06,77.38
211,臺北市,2014/05/01,松山,1.2,0.67,437.43,21.4,38,21,42.06,12.11,29.94,0.86,20.69,86.53
212,臺北市,2014/05/01,古亭,2.0,0.96,-,15.6,39,21,59.05,17.93,41.12,0.9,20.82,94.88
213,臺北市,2014/05/01,中山,1.9,0.96,-,17.3,58,20,66.14,25.33,40.81,0.97,21.37,88.6
214,臺北市,2014/05/01,大同,2.2,1.43,-,-,51,16,86.36,40.48,45.88,-,-,-
215,臺北市,2014/05/01,萬華,2.8,0.98,-,16.7,37,23,58.35,16.06,42.27,0.75,21.12,88.3
216,臺北市,2014/05/01,陽明,1.3,0.26,409.62,53.4,8,5,2.58,0.63,1.9,-,16.34,99.0
217,臺北市,2014/05/01,士林,1.7,0.62,-,25.3,36,21,35.66,6.17,29.49,0.86,20.82,86.58
218,新北市,2014/05/31,板橋,5.0,0.76,-,24.3,52,23,30.93,8.07,22.85,1.24,28.38,82.24
219,新北市,2014/05/31,三重,3.9,1.51,-,-,56,28,92.47,52.43,40.04,-,28.32,76.26
220,新北市,2014/05/31,菜寮,3.6,0.67,-,27.3,38,27,29.11,7.01,22.09,1.34,27.97,77.83
221,新北市,2014/05/31,永和,2.2,1.22,-,18.0,36,24,42.76,14.12,28.64,1.15,27.78,85.64
222,新北市,2014/05/31,新莊,4.7,0.76,-,26.5,40,27,29.91,6.11,23.8,1.77,27.8,81.49
223,新北市,2014/05/31,新店,1.5,0.55,-,29.7,-,17,19.66,3.05,16.61,1.23,28.51,81.43
224,新北市,2014/05/31,淡水,2.4,0.4,-,30.8,44,19,16.62,5.35,11.27,-,-,-
225,新北市,2014/05/31,汐止,4.6,0.44,-,24.0,41,22,23.17,6.14,17.04,1.2,27.68,87.02
226,新北市,2014/05/31,土城,3.6,0.64,-,25.1,52,28,30.7,10.55,20.14,0.94,27.23,81.6
227,新北市,2014/05/31,林口,2.6,0.53,-,27.2,41,29,27.42,6.68,20.73,1.07,26.32,86.92
228,新北市,2014/05/31,萬里,2.9,0.28,-,35.8,61,26,8.99,1.73,7.26,1.88,25.72,87.56
229,新北市,2014/05/30,板橋,4.4,0.9,-,11.2,41,18,38.9,16.89,22.02,1.44,27.86,86.5
230,新北市,2014/05/30,三重,3.5,1.83,-,-,52,27,120.89,85.63,35.26,-,27.58,82.42
231,新北市,2014/05/30,菜寮,3.4,0.82,-,14.2,31,26,36.1,12.71,23.39,1.53,27.43,81.82
