序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","風速 WIND_SPEED (m/sec)","溫度 AMB_TEMP (℃)","相對濕度 RH (percent)"
1,臺北市,2014/05/31,松山,2.9,0.61,440.02,24.4,38,23,27.4,6.04,21.37,1.17,27.25,81.2
2,臺北市,2014/05/31,古亭,2.9,0.71,-,22.7,50,20,30.7,7.23,23.46,1.21,27.68,84.16
3,臺北市,2014/05/31,中山,3.4,0.78,-,22.8,63,23,38.73,9.46,29.27,1.4,28.42,78.47
4,臺北市,2014/05/31,大同,3.9,1.47,-,-,58,19,63.26,30.16,33.1,-,-,-
5,臺北市,2014/05/31,萬華,3.2,0.76,-,23.8,45,23,35.04,6.05,28.99,1.16,28.36,78.89
6,臺北市,2014/05/31,陽明,1.5,0.17,400.79,25.3,16,13,4.95,1.58,3.37,-,22.54,96.64
7,臺北市,2014/05/31,士林,3.0,0.48,-,32.1,32,22,19.01,3.45,15.56,1.54,28.13,77.76
8,臺北市,2014/05/30,松山,-,-,-,-,41,23,-,-,-,-,-,-
9,臺北市,2014/05/30,古亭,2.6,0.91,-,10.7,39,17,42.53,16.73,25.8,1.26,26.93,90.53
10,臺北市,2014/05/30,中山,3.3,1.0,-,10.8,54,20,53.53,24.65,28.88,1.41,27.72,83.41
11,臺北市,2014/05/30,大同,4.0,1.73,-,-,55,16,89.13,57.95,31.18,-,-,-
12,臺北市,2014/05/30,萬華,2.5,0.87,-,12.1,30,22,43.34,16.64,26.7,1.18,27.67,83.57
13,臺北市,2014/05/30,陽明,1.3,0.15,397.53,31.1,16,13,5.9,1.34,4.56,-,21.93,98.53
14,臺北市,2014/05/30,士林,2.6,0.52,-,15.6,21,16,24.72,7.8,16.93,1.71,27.21,83.1
15,臺北市,2014/05/29,松山,1.4,0.87,443.79,12.5,22,15,51.26,21.72,29.54,1.15,25.64,89.53
16,臺北市,2014/05/29,古亭,2.0,0.96,-,9.8,29,13,46.94,16.19,30.74,1.04,26.08,96.15
17,臺北市,2014/05/29,中山,2.5,1.18,-,9.9,43,15,70.38,34.02,36.36,1.11,26.46,89.88
18,臺北市,2014/05/29,大同,3.5,1.97,-,-,45,14,111.0,69.79,41.21,-,-,-
19,臺北市,2014/05/29,萬華,2.4,1.22,-,8.5,27,18,66.94,28.42,38.52,0.99,26.6,89.59
20,臺北市,2014/05/29,陽明,1.3,0.24,401.44,47.5,20,15,4.59,1.42,3.17,-,21.7,99.0
21,臺北市,2014/05/29,士林,1.8,0.68,-,18.7,19,13,31.57,6.62,24.95,1.26,25.86,88.2
22,臺北市,2014/05/28,松山,3.4,0.6,430.85,39.0,55,44,23.52,2.95,20.57,1.66,27.7,79.46
23,臺北市,2014/05/28,古亭,3.5,0.69,-,31.4,71,39,28.36,5.87,22.49,1.55,28.02,82.19
24,臺北市,2014/05/28,中山,3.4,0.85,-,33.7,87,42,36.24,7.54,28.7,1.73,28.51,79.78
25,臺北市,2014/05/28,大同,4.7,1.45,-,-,81,38,50.97,18.64,32.33,-,-,-
26,臺北市,2014/05/28,萬華,4.5,0.8,-,32.5,-,47,32.99,4.12,28.87,1.25,28.45,80.48
27,臺北市,2014/05/28,陽明,1.6,0.25,406.15,55.5,31,27,4.64,1.01,3.63,-,22.2,99.0
28,臺北市,2014/05/28,士林,2.9,0.44,-,50.1,57,41,14.79,0.87,13.93,2.07,27.98,79.91
29,臺北市,2014/05/27,松山,3.7,0.74,439.47,24.3,41,30,32.17,8.55,23.62,1.32,26.81,83.06
30,臺北市,2014/05/27,古亭,2.9,0.8,-,21.7,51,27,31.14,7.5,23.64,1.62,27.35,85.96
31,臺北市,2014/05/27,中山,2.5,0.92,-,24.1,64,28,38.6,9.95,28.65,1.53,27.72,83.06
32,臺北市,2014/05/27,大同,3.1,1.36,-,-,55,24,46.55,18.03,28.52,-,-,-
