序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,1993/10/31,松山,3.8,0.49,30.2,-,46,27,3.63,22.8,-,-,-,18.93,-,-,46.0
2,臺北市,1993/10/31,古亭,3.3,0.73,22.8,-,63,38,9.43,27.41,2.15,0.14,1.99,19.35,-,-,56.0
3,臺北市,1993/10/31,中山,5.6,0.64,22.6,-,59,37,6.78,29.74,1.73,0.06,1.67,19.19,-,-,54.0
4,臺北市,1993/10/31,大同,15.6,3.8,-,-,86,265,202.86,63.71,3.6,1.75,1.84,19.96,-,-,68.0
5,臺北市,1993/10/31,萬華,3.5,0.68,25.3,-,45,26,3.28,21.7,-,-,-,19.34,-,-,45.0
6,臺北市,1993/10/31,陽明,1.4,0.21,47.0,-,30,4,1.08,2.6,-,-,-,10.93,-,82.0,44.0
7,臺北市,1993/10/31,士林,1.7,0.37,37.0,-,49,16,1.48,11.46,-,-,-,19.09,-,-,49.0
8,臺北市,1993/10/30,松山,3.8,0.79,17.8,-,63,36,8.79,27.15,-,-,-,18.71,-,-,56.0
9,臺北市,1993/10/30,古亭,2.9,1.19,13.1,-,64,56,27.05,32.59,2.4,0.25,2.17,19.11,-,-,57.0
10,臺北市,1993/10/30,中山,3.4,0.97,13.9,-,56,44,12.43,35.73,1.99,0.16,1.83,19.37,-,-,53.0
11,臺北市,1993/10/30,大同,21.0,5.76,-,-,82,299,246.77,58.3,4.59,2.78,1.81,20.08,-,-,85.0
12,臺北市,1993/10/30,萬華,3.1,1.08,12.5,-,42,37,7.54,28.51,-,-,-,19.09,-,-,42.0
13,臺北市,1993/10/30,陽明,0.7,0.3,39.4,-,-,3,0.18,1.64,-,-,-,11.38,-,97.0,38.0
14,臺北市,1993/10/30,士林,1.9,0.52,26.6,-,49,19,2.33,13.93,-,-,-,19.43,-,-,49.0
15,臺北市,1993/10/29,松山,4.2,0.81,16.5,-,52,35,9.26,25.38,-,-,-,23.17,-,-,51.0
16,臺北市,1993/10/29,古亭,3.2,1.25,13.2,-,44,50,18.27,30.71,2.4,0.29,2.02,24.16,-,-,44.0
17,臺北市,1993/10/29,中山,5.4,1.17,12.1,-,48,48,18.63,29.89,2.15,0.28,1.87,24.01,-,-,48.0
18,臺北市,1993/10/29,大同,23.1,5.56,-,-,128,244,196.56,50.78,4.67,2.65,2.02,25.15,-,-,89.0
19,臺北市,1993/10/29,萬華,3.4,0.97,13.7,-,33,36,9.09,25.57,-,-,-,24.07,-,-,33.0
20,臺北市,1993/10/29,陽明,0.4,0.3,36.6,-,-,2,0.17,1.54,-,-,-,16.91,-,95.0,34.0
21,臺北市,1993/10/29,士林,3.5,1.0,17.5,-,59,38,15.7,19.79,-,-,-,23.68,-,-,54.0
22,臺北市,1993/10/28,松山,13.2,1.28,14.5,-,77,67,20.82,45.93,-,-,-,23.96,-,-,64.0
23,臺北市,1993/10/28,古亭,9.9,1.76,18.2,-,76,88,39.74,47.36,2.74,0.56,2.16,25.12,-,-,84.0
24,臺北市,1993/10/28,中山,9.9,1.5,11.9,-,60,69,27.27,40.76,2.5,0.48,2.02,24.48,-,-,55.0
25,臺北市,1993/10/28,大同,26.2,5.57,-,-,145,224,179.12,52.91,4.76,2.67,2.09,25.93,-,-,106.0
26,臺北市,1993/10/28,萬華,8.0,1.3,18.4,-,45,47,12.37,33.25,-,-,-,25.2,-,-,67.0
27,臺北市,1993/10/28,陽明,2.4,0.4,36.1,-,19,7,1.3,5.15,-,-,-,18.86,-,85.0,44.0
28,臺北市,1993/10/28,士林,6.5,1.19,13.2,-,66,56,26.33,28.42,-,-,-,24.36,-,-,58.0
29,臺北市,1993/10/27,松山,9.1,1.24,10.0,-,73,62,23.54,37.86,-,-,-,22.32,-,-,61.0
30,臺北市,1993/10/27,古亭,8.4,1.42,9.1,-,58,67,30.65,35.83,2.53,0.46,2.0,23.2,-,-,54.0
31,臺北市,1993/10/27,中山,8.8,1.64,6.7,-,67,93,46.13,46.49,2.54,0.5,2.03,22.66,-,-,58.0
32,臺北市,1993/10/27,大同,25.2,6.48,-,-,110,291,233.14,59.48,5.06,3.03,2.03,24.27,-,-,94.0
33,臺北市,1993/10/27,萬華,6.6,1.27,11.2,-,42,43,11.17,30.58,-,-,-,23.39,-,-,42.0
34,臺北市,1993/10/27,陽明,1.6,0.3,37.5,-,15,3,0.26,2.25,-,-,-,16.86,-,93.0,36.0
35,臺北市,1993/10/27,士林,5.6,1.18,14.0,-,58,46,15.44,29.91,-,-,-,23.04,-,-,54.0
36,臺北市,1993/10/26,松山,6.1,1.26,18.5,-,77,64,21.59,42.34,-,-,-,23.74,-,-,67.0
37,臺北市,1993/10/26,古亭,5.4,1.67,15.9,-,62,67,24.35,40.41,2.66,0.45,2.14,24.12,-,-,56.0
38,臺北市,1993/10/26,中山,8.3,1.57,15.5,-,68,85,26.32,51.86,2.52,0.5,2.02,24.56,-,-,59.0
39,臺北市,1993/10/26,大同,12.9,4.84,-,-,69,188,131.65,60.57,4.1,2.1,2.01,25.14,-,-,67.0
40,臺北市,1993/10/26,萬華,4.1,1.07,23.5,-,48,36,7.21,27.98,-,-,-,24.69,-,-,55.0
41,臺北市,1993/10/26,陽明,0.9,0.3,53.1,-,26,4,0.59,2.96,-,-,-,17.19,-,85.0,86.0
42,臺北市,1993/10/26,士林,3.5,1.0,24.6,-,59,40,12.88,25.07,-,-,-,23.77,-,-,61.0
43,臺北市,1993/10/25,松山,4.9,0.8,13.4,-,42,62,24.88,37.03,-,-,-,22.16,-,-,42.0
44,臺北市,1993/10/25,古亭,0.6,0.81,20.4,-,43,36,9.99,25.04,1.97,0.12,1.85,23.17,-,-,43.0
45,臺北市,1993/10/25,中山,3.0,0.91,13.6,-,38,47,13.8,30.92,2.0,0.15,1.85,23.01,-,-,38.0
46,臺北市,1993/10/25,大同,12.2,5.12,-,-,46,251,202.4,51.45,4.33,2.47,1.87,23.7,-,-,81.0
47,臺北市,1993/10/25,萬華,0.8,0.96,19.3,-,20,29,5.27,22.97,-,-,-,23.15,-,-,26.0
48,臺北市,1993/10/25,陽明,2.3,0.16,42.7,-,-,2,0.22,1.65,-,-,-,15.22,-,86.0,38.0
49,臺北市,1993/10/25,士林,6.6,0.46,28.6,-,28,18,3.38,13.15,-,-,-,22.83,-,-,28.0
50,臺北市,1993/10/24,松山,11.2,0.98,11.5,-,79,80,29.92,50.04,-,-,-,21.27,-,-,64.0
51,臺北市,1993/10/24,古亭,1.4,0.76,26.8,-,60,34,9.57,24.57,2.36,0.13,2.26,21.79,-,-,55.0
52,臺北市,1993/10/24,中山,5.7,1.11,13.0,-,66,61,18.76,42.26,2.02,0.19,1.84,21.74,-,-,58.0
53,臺北市,1993/10/24,大同,14.7,5.26,-,-,53,282,222.88,60.73,4.0,2.26,1.74,22.0,-,-,76.0
54,臺北市,1993/10/24,萬華,1.9,0.87,26.9,-,47,25,2.41,21.87,-,-,-,21.9,-,-,47.0
