序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/03/31,松山,1.6,0.85,28.9,-,35,-,-,-,-,-,-,-,21.56,-,-,44.0,-
2,臺北市,1999/03/31,古亭,1.0,0.76,34.9,-,24,7,34.65,9.66,24.99,2.201,0.25,1.95,21.4,-,-,40.0,-
3,臺北市,1999/03/31,中山,1.8,0.85,32.9,-,31,-,36.95,8.57,28.37,2.285,0.17,2.11,21.77,-,-,38.0,-
4,臺北市,1999/03/31,大同,5.3,3.73,-,-,63,-,179.66,125.41,54.25,4.13,1.88,2.25,23.32,-,-,63.0,-
5,臺北市,1999/03/31,萬華,0.9,0.89,33.8,-,24,-,29.06,4.27,24.8,-,-,-,21.37,-,-,41.0,-
6,臺北市,1999/03/31,陽明,1.1,0.28,55.3,-,12,-,2.8,0.35,2.44,-,-,-,13.93,-,88.0,49.0,-
7,臺北市,1999/03/31,士林,2.1,0.44,34.2,-,25,-,14.76,1.86,12.9,-,-,-,21.78,-,-,33.0,-
8,臺北市,1999/03/30,松山,0.9,0.61,24.5,-,27,-,38.92,8.66,30.26,-,-,-,16.9,-,-,35.0,-
9,臺北市,1999/03/30,古亭,0.8,0.7,27.1,-,20,6,38.25,9.39,28.85,2.188,0.23,1.95,17.17,-,-,34.0,-
10,臺北市,1999/03/30,中山,1.1,0.7,28.8,-,30,-,34.5,6.8,27.69,2.305,0.19,2.12,17.89,-,-,40.0,-
11,臺北市,1999/03/30,大同,4.3,3.24,-,-,49,-,168.71,117.79,50.92,4.023,1.75,2.28,19.2,-,-,50.0,-
12,臺北市,1999/03/30,萬華,1.0,0.78,27.9,-,17,-,32.52,3.62,28.9,-,-,-,17.26,-,-,33.0,-
13,臺北市,1999/03/30,陽明,0.4,0.15,53.8,-,12,-,1.48,0.07,1.41,-,-,-,10.6,-,100.0,47.0,-
14,臺北市,1999/03/30,士林,0.7,0.35,29.6,-,18,-,14.84,1.5,13.34,-,-,-,17.66,-,-,30.0,-
15,臺北市,1999/03/29,松山,0.6,0.57,31.1,-,22,-,33.81,7.04,26.77,-,-,-,18.14,-,-,43.0,-
16,臺北市,1999/03/29,古亭,0.6,0.85,26.0,-,22,-,44.39,12.6,31.79,2.283,0.34,1.94,17.91,-,-,38.0,-
17,臺北市,1999/03/29,中山,1.3,0.81,27.8,-,23,-,38.5,7.34,31.16,2.461,0.3,2.16,18.65,-,-,41.0,-
18,臺北市,1999/03/29,大同,2.8,2.33,-,-,33,-,110.95,66.97,43.98,3.449,1.17,2.28,19.53,-,-,33.0,-
19,臺北市,1999/03/29,萬華,1.0,0.82,28.1,-,19,-,32.12,2.34,29.78,-,-,-,17.82,-,-,39.0,-
20,臺北市,1999/03/29,陽明,0.3,0.15,54.5,-,12,-,1.51,0.09,1.42,-,-,-,11.9,-,100.0,49.0,-
21,臺北市,1999/03/29,士林,0.7,0.49,25.6,-,18,-,20.17,1.43,18.73,-,-,-,18.55,-,-,32.0,-
22,臺北市,1999/03/28,松山,1.4,0.56,29.4,-,26,-,32.29,5.64,26.65,-,-,-,18.39,-,-,38.0,-
23,臺北市,1999/03/28,古亭,0.8,0.63,30.8,-,19,6,28.67,4.96,23.71,2.177,0.17,2.01,18.16,-,-,36.0,-
24,臺北市,1999/03/28,中山,1.2,0.72,33.2,-,24,-,29.79,5.15,24.64,2.279,0.19,2.09,19.56,-,-,36.0,-
25,臺北市,1999/03/28,大同,4.8,2.9,-,-,32,-,157.26,106.69,50.25,3.549,1.28,2.27,21.0,-,-,45.0,-
26,臺北市,1999/03/28,萬華,1.1,0.78,33.9,-,19,-,23.49,1.91,21.57,-,-,-,19.06,-,-,37.0,-
27,臺北市,1999/03/28,陽明,0.3,0.28,54.8,-,12,-,1.73,0.09,1.65,-,-,-,13.17,-,100.0,48.0,-
28,臺北市,1999/03/28,士林,0.3,0.41,32.6,-,16,-,10.68,1.54,9.14,-,-,-,20.43,-,-,30.0,-
29,臺北市,1999/03/27,松山,1.7,0.88,20.2,-,49,-,44.97,21.92,23.04,-,-,-,20.48,-,-,49.0,-
30,臺北市,1999/03/27,古亭,1.2,0.86,18.7,-,39,13,37.53,13.02,24.51,2.35,0.31,2.04,20.3,-,-,39.0,-
31,臺北市,1999/03/27,中山,1.9,1.03,19.6,-,50,-,47.27,21.56,25.72,2.565,0.37,2.2,21.08,-,-,50.0,-
32,臺北市,1999/03/27,大同,6.7,3.27,-,-,65,-,164.67,122.09,42.1,3.817,1.52,2.3,22.29,-,-,57.0,-
33,臺北市,1999/03/27,萬華,0.9,0.95,20.0,-,29,-,30.97,6.8,24.16,-,-,-,20.78,-,-,29.0,-
34,臺北市,1999/03/27,陽明,0.5,0.29,38.8,-,16,-,3.72,0.16,3.57,-,-,-,15.11,-,96.0,46.0,-
35,臺北市,1999/03/27,士林,1.0,0.62,17.4,-,34,-,24.51,7.85,16.67,-,-,-,21.03,-,-,34.0,-
36,臺北市,1999/03/26,松山,6.6,1.87,23.1,-,115,-,109.67,59.97,49.7,-,-,-,25.68,-,-,83.0,-
37,臺北市,1999/03/26,古亭,5.6,1.83,19.5,-,87,30,82.79,43.06,39.73,3.344,1.0,2.35,25.5,-,-,68.0,-
