序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
38,臺北市,1999/03/26,中山,6.3,1.91,16.7,-,100,-,87.72,43.83,43.88,3.43,0.82,2.61,25.94,-,-,75.0,-
39,臺北市,1999/03/26,大同,8.4,3.67,-,-,130,-,167.03,115.84,51.18,4.73,1.99,2.74,27.08,-,-,90.0,-
40,臺北市,1999/03/26,萬華,5.8,1.87,14.8,-,85,-,75.01,35.48,39.54,-,-,-,25.9,-,-,70.0,-
41,臺北市,1999/03/26,陽明,4.3,0.32,41.5,-,45,-,12.04,0.8,11.24,-,-,-,20.74,-,83.0,73.0,-
42,臺北市,1999/03/26,士林,4.8,1.31,14.4,-,82,-,55.36,22.7,32.66,-,-,-,25.4,-,-,66.0,-
43,臺北市,1999/03/25,松山,8.5,1.94,16.2,-,90,-,121.45,66.86,54.59,-,-,-,24.61,-,-,70.0,-
44,臺北市,1999/03/25,古亭,6.8,2.1,27.8,-,89,30,100.75,46.02,54.72,3.504,1.13,2.37,24.61,-,-,97.0,-
45,臺北市,1999/03/25,中山,8.7,2.54,26.8,-,95,-,134.43,68.58,65.85,4.306,1.33,2.98,24.77,-,-,92.0,-
46,臺北市,1999/03/25,大同,9.1,3.67,-,-,119,-,189.49,116.67,72.82,5.586,2.06,3.52,25.78,-,-,84.0,-
47,臺北市,1999/03/25,萬華,9.6,2.5,25.7,-,105,-,107.21,39.88,63.87,-,-,-,24.78,-,-,96.0,-
48,臺北市,1999/03/25,陽明,4.5,0.23,58.7,-,18,-,5.53,0.27,5.26,-,-,-,20.54,-,79.0,71.0,-
49,臺北市,1999/03/25,士林,5.7,1.9,19.2,-,75,-,90.8,50.66,40.15,-,-,-,24.14,-,-,63.0,-
50,臺北市,1999/03/24,松山,9.7,1.48,9.3,-,90,-,90.81,42.87,47.95,-,-,-,20.35,-,-,70.0,-
51,臺北市,1999/03/24,古亭,10.9,1.73,11.7,-,85,28,90.38,42.63,47.75,3.437,1.04,2.39,20.56,-,-,67.0,-
52,臺北市,1999/03/24,中山,9.0,1.42,11.0,-,73,-,82.5,36.21,46.29,3.27,0.71,2.56,20.5,-,-,61.0,-
53,臺北市,1999/03/24,大同,11.0,3.63,-,-,92,-,174.05,122.74,51.31,4.891,2.18,2.71,21.69,-,-,72.0,-
54,臺北市,1999/03/24,萬華,11.0,1.5,10.1,-,77,-,86.39,35.09,51.34,-,-,-,20.63,-,-,64.0,-
55,臺北市,1999/03/24,陽明,1.6,0.28,51.4,-,14,-,4.77,0.4,4.38,-,-,-,18.95,-,87.0,63.0,-
56,臺北市,1999/03/24,士林,5.0,1.11,10.8,-,48,-,60.06,27.0,33.05,-,-,-,20.18,-,-,48.0,-
57,臺北市,1999/03/23,松山,7.1,0.98,12.3,-,35,-,71.75,28.33,43.42,-,-,-,18.72,-,-,35.0,-
58,臺北市,1999/03/23,古亭,5.8,1.66,14.8,-,41,14,85.5,34.42,44.85,3.036,0.88,2.16,19.07,-,-,41.0,-
59,臺北市,1999/03/23,中山,4.1,1.23,14.4,-,40,-,70.37,26.31,44.06,2.69,0.52,2.17,19.01,-,-,40.0,-
60,臺北市,1999/03/23,大同,5.4,3.13,-,-,54,-,156.65,98.0,51.2,4.185,1.71,2.48,19.83,-,-,62.0,-
61,臺北市,1999/03/23,萬華,5.2,1.35,19.0,-,33,-,75.44,25.8,49.65,-,-,-,18.77,-,-,33.0,-
62,臺北市,1999/03/23,陽明,0.9,0.23,46.8,-,12,-,2.2,0.02,2.18,-,-,-,13.52,-,97.0,45.0,-
63,臺北市,1999/03/23,士林,1.6,0.65,19.5,-,25,-,31.16,6.56,24.6,-,-,-,19.06,-,-,30.0,-
64,臺北市,1999/03/22,松山,3.0,0.63,22.0,-,29,-,47.44,12.64,34.8,-,-,-,13.31,-,-,40.0,-
65,臺北市,1999/03/22,古亭,1.4,0.57,27.3,-,23,-,-,-,-,2.136,0.21,1.92,13.02,-,-,35.0,-
66,臺北市,1999/03/22,中山,1.3,0.78,24.4,-,30,-,43.57,10.75,32.82,2.395,0.23,2.16,13.94,-,-,38.0,-
67,臺北市,1999/03/22,大同,4.4,3.41,-,-,53,-,201.57,146.88,54.22,3.956,1.74,2.22,14.85,-,-,54.0,-
68,臺北市,1999/03/22,萬華,1.7,0.77,25.9,-,18,-,35.11,2.8,32.31,-,-,-,13.53,-,-,36.0,-
69,臺北市,1999/03/22,陽明,0.2,0.18,51.4,-,12,-,1.2,0.08,1.12,-,-,-,7.87,-,100.0,45.0,-
70,臺北市,1999/03/22,士林,0.3,0.29,31.7,-,17,-,12.77,0.74,12.03,-,-,-,14.06,-,-,33.0,-
71,臺北市,1999/03/21,松山,1.5,0.55,21.4,-,24,-,34.26,9.66,24.6,-,-,-,16.27,-,-,36.0,-
72,臺北市,1999/03/21,古亭,0.9,0.8,17.0,-,18,-,44.74,16.77,27.97,2.179,0.28,1.9,16.01,-,-,25.0,-
73,臺北市,1999/03/21,中山,1.3,0.98,13.7,-,28,-,58.04,21.71,36.33,2.662,0.26,2.4,16.82,-,-,32.0,-
74,臺北市,1999/03/21,大同,4.4,3.14,-,-,39,-,196.69,146.32,50.19,3.657,1.27,2.39,17.77,-,-,46.0,-
75,臺北市,1999/03/21,萬華,1.2,0.84,18.1,-,17,-,38.19,3.83,34.92,-,-,-,16.44,-,-,26.0,-
76,臺北市,1999/03/21,陽明,0.2,0.16,46.2,-,13,-,1.64,0.1,1.54,-,-,-,11.32,-,99.0,44.0,-
77,臺北市,1999/03/21,士林,0.8,0.76,13.0,-,18,-,36.05,11.37,24.68,-,-,-,16.46,-,-,30.0,-
78,臺北市,1999/03/20,松山,-,-,-,-,-,-,-,-,-,-,-,-,17.64,-,-,-,-
79,臺北市,1999/03/20,古亭,1.1,0.78,20.0,-,23,-,36.18,10.95,25.23,2.107,0.27,1.84,17.82,-,-,29.0,-
80,臺北市,1999/03/20,中山,0.9,0.83,17.2,-,21,-,41.22,12.14,29.09,2.283,0.21,2.07,18.56,-,-,27.0,-
81,臺北市,1999/03/20,大同,6.0,3.72,-,-,49,-,192.36,146.21,45.56,4.051,1.77,2.28,19.89,-,-,57.0,-
82,臺北市,1999/03/20,萬華,0.9,0.89,20.3,-,19,-,31.51,2.4,29.12,-,-,-,18.4,-,-,28.0,-
83,臺北市,1999/03/20,陽明,0.2,0.35,31.5,-,13,-,3.13,0.18,2.95,-,-,-,13.36,-,98.0,32.0,-
84,臺北市,1999/03/20,士林,0.8,0.59,11.5,-,26,-,26.4,3.63,22.76,-,-,-,18.1,-,-,26.0,-
85,臺北市,1999/03/19,松山,6.6,1.92,11.8,-,89,-,115.76,73.07,44.99,-,-,-,25.29,-,-,69.0,-
86,臺北市,1999/03/19,古亭,4.1,1.4,11.2,-,54,-,71.67,38.57,33.11,2.753,0.72,2.03,25.04,-,-,52.0,-
87,臺北市,1999/03/19,中山,6.0,2.15,12.0,-,72,-,111.87,69.86,40.6,3.774,1.06,2.72,25.35,-,-,61.0,-
88,臺北市,1999/03/19,大同,7.8,3.94,-,-,-,-,193.38,147.59,45.8,5.801,2.46,3.34,26.68,-,-,66.0,-
89,臺北市,1999/03/19,萬華,4.0,1.32,14.3,-,45,-,-,-,-,-,-,-,25.53,-,-,45.0,-
90,臺北市,1999/03/19,陽明,2.5,0.18,24.8,-,13,-,6.77,0.5,6.28,-,-,-,20.01,-,81.0,39.0,-
91,臺北市,1999/03/19,士林,4.3,1.82,9.9,-,68,-,90.25,60.09,30.16,-,-,-,24.76,-,-,59.0,-
92,臺北市,1999/03/18,松山,7.6,2.88,8.3,-,128,-,171.01,94.85,76.16,-,-,-,22.8,-,-,89.0,-
93,臺北市,1999/03/18,古亭,6.7,3.34,9.0,-,117,-,166.5,91.91,74.59,4.576,1.83,2.74,22.7,-,-,83.0,-
94,臺北市,1999/03/18,中山,10.0,3.51,8.1,-,75,-,186.53,110.0,79.89,5.295,2.02,3.27,23.07,-,-,62.0,-
95,臺北市,1999/03/18,大同,11.6,5.84,-,-,-,-,281.18,201.33,79.85,6.576,2.97,3.61,23.94,-,-,109.0,-
96,臺北市,1999/03/18,萬華,8.9,3.95,12.0,-,132,-,180.58,85.53,95.05,-,-,-,22.93,-,-,91.0,-
97,臺北市,1999/03/18,陽明,2.5,0.27,45.1,-,16,-,7.44,0.27,7.17,-,-,-,19.44,-,76.0,83.0,-
98,臺北市,1999/03/18,士林,7.0,2.47,7.8,-,84,-,121.56,63.48,58.08,-,-,-,22.68,-,-,67.0,-
99,臺北市,1999/03/17,松山,5.3,2.79,11.7,-,86,-,158.82,91.6,67.22,-,-,-,20.86,-,-,68.0,-
100,臺北市,1999/03/17,古亭,7.2,2.44,10.9,-,78,-,139.83,82.12,57.7,3.779,1.38,2.4,20.68,-,-,64.0,-
101,臺北市,1999/03/17,中山,9.6,2.75,12.3,-,75,-,157.01,93.81,65.46,4.2,1.42,2.78,21.08,-,-,63.0,-
102,臺北市,1999/03/17,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,臺北市,1999/03/17,萬華,9.5,2.67,12.0,-,83,-,144.57,69.11,75.7,-,-,-,21.25,-,-,66.0,-
104,臺北市,1999/03/17,陽明,0.7,0.32,57.2,-,13,-,4.23,0.09,4.14,-,-,-,17.05,-,81.0,61.0,-
105,臺北市,1999/03/17,士林,5.7,1.86,12.6,-,66,-,95.37,50.56,44.81,-,-,-,20.82,-,-,58.0,-
106,臺北市,1999/03/16,松山,2.3,1.04,12.7,-,48,-,65.39,26.01,39.38,-,-,-,17.08,-,-,48.0,-
107,臺北市,1999/03/16,古亭,3.5,1.11,14.5,-,38,-,67.53,30.02,37.51,2.644,0.52,2.12,16.93,-,-,38.0,-
108,臺北市,1999/03/16,中山,3.2,1.25,14.0,-,42,-,70.9,29.44,41.46,2.924,0.51,2.42,17.49,-,-,42.0,-
109,臺北市,1999/03/16,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,臺北市,1999/03/16,萬華,3.5,1.25,15.2,-,33,-,59.41,16.03,43.39,-,-,-,17.84,-,-,33.0,-
111,臺北市,1999/03/16,陽明,0.6,0.25,48.8,-,12,-,2.22,0.09,2.13,-,-,-,10.61,-,94.0,45.0,-
112,臺北市,1999/03/16,士林,3.2,0.86,14.5,-,32,-,40.33,11.48,28.85,-,-,-,16.97,-,-,32.0,-
113,臺北市,1999/03/15,松山,1.4,0.9,11.1,-,33,-,53.69,21.79,31.89,-,-,-,16.47,-,-,33.0,-
114,臺北市,1999/03/15,古亭,2.1,1.27,7.8,-,34,-,-,-,-,2.64,0.51,2.13,16.02,-,-,34.0,-
115,臺北市,1999/03/15,中山,1.5,1.27,8.8,-,30,-,62.56,26.1,36.46,2.793,0.47,2.32,16.63,-,-,30.0,-
116,臺北市,1999/03/15,大同,3.6,3.38,-,-,44,-,169.7,126.65,42.91,-,-,-,17.38,-,-,67.0,-
117,臺北市,1999/03/15,萬華,1.8,0.99,10.7,-,29,-,41.31,6.78,34.53,-,-,-,16.89,-,-,29.0,-
118,臺北市,1999/03/15,陽明,0.4,0.32,41.2,-,14,-,1.97,0.09,1.88,-,-,-,10.69,-,100.0,44.0,-
119,臺北市,1999/03/15,士林,0.4,0.83,9.8,-,23,-,40.05,12.94,27.11,-,-,-,16.05,-,-,23.0,-
120,臺北市,1999/03/14,松山,3.2,1.61,5.4,-,71,-,103.45,52.0,51.45,-,-,-,19.58,-,-,60.0,-
121,臺北市,1999/03/14,古亭,3.3,1.88,3.9,-,58,43,-,-,-,3.478,0.97,2.51,19.45,-,-,54.0,-
122,臺北市,1999/03/14,中山,4.6,1.87,4.5,-,57,-,103.17,55.35,47.82,3.719,0.89,2.83,19.79,-,-,54.0,-
123,臺北市,1999/03/14,大同,4.0,2.38,-,-,66,-,132.38,84.83,47.46,-,-,-,20.5,-,-,58.0,-
124,臺北市,1999/03/14,萬華,3.6,1.91,4.8,-,57,-,102.69,40.6,62.09,-,-,-,20.25,-,-,54.0,-
125,臺北市,1999/03/14,陽明,1.5,0.37,48.5,-,20,-,6.84,0.26,6.58,-,-,-,16.67,-,91.0,54.0,-
126,臺北市,1999/03/14,士林,1.8,1.17,4.2,-,38,-,55.68,19.57,36.1,-,-,-,19.22,-,-,38.0,-
127,臺北市,1999/03/13,松山,2.3,1.38,6.2,-,43,-,97.98,48.18,49.79,-,-,-,17.7,-,-,43.0,-
128,臺北市,1999/03/13,古亭,2.8,1.57,6.2,-,34,31,-,-,-,3.184,0.85,2.33,17.53,-,-,34.0,-
129,臺北市,1999/03/13,中山,2.5,1.76,4.7,-,41,-,107.65,54.97,52.68,3.58,0.93,2.65,18.05,-,-,41.0,-
130,臺北市,1999/03/13,大同,3.5,3.25,-,-,53,-,190.13,133.74,54.63,-,-,-,18.63,-,-,54.0,-
131,臺北市,1999/03/13,萬華,3.2,1.43,8.9,-,31,-,85.66,28.31,57.36,-,-,-,18.42,-,-,31.0,-
132,臺北市,1999/03/13,陽明,0.4,0.24,46.9,-,12,-,3.14,0.22,2.92,-,-,-,13.72,-,96.0,43.0,-
133,臺北市,1999/03/13,士林,0.8,1.48,2.2,-,33,-,83.01,36.3,46.71,-,-,-,17.56,-,-,33.0,-
134,臺北市,1999/03/12,松山,2.6,1.39,11.7,-,40,-,94.82,43.87,50.95,-,-,-,16.99,-,-,40.0,-
135,臺北市,1999/03/12,古亭,2.9,1.84,10.6,-,30,26,-,-,-,-,-,-,16.81,-,-,33.0,-
136,臺北市,1999/03/12,中山,4.0,1.7,7.7,-,38,-,97.69,43.03,54.65,3.354,0.92,2.44,17.24,-,-,38.0,-
137,臺北市,1999/03/12,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,臺北市,1999/03/12,萬華,2.9,1.34,12.9,-,22,-,69.02,15.1,53.92,-,-,-,17.6,-,-,31.0,-
139,臺北市,1999/03/12,陽明,0.4,0.21,55.4,-,12,-,1.28,0.07,1.21,-,-,-,12.48,-,96.0,50.0,-
140,臺北市,1999/03/12,士林,0.7,0.86,8.9,-,25,-,48.11,11.49,36.62,-,-,-,16.7,-,-,27.0,-
141,臺北市,1999/03/11,松山,1.0,0.63,22.6,-,21,-,47.7,12.47,35.23,-,-,-,15.56,-,-,37.0,-
142,臺北市,1999/03/11,古亭,0.9,0.76,22.2,-,16,17,42.42,10.98,31.44,1.992,0.16,1.83,15.38,-,-,28.0,-
143,臺北市,1999/03/11,中山,2.2,0.96,17.4,-,24,-,58.93,18.61,40.31,2.569,0.37,2.2,16.12,-,-,27.0,-
144,臺北市,1999/03/11,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,臺北市,1999/03/11,萬華,1.3,0.81,23.2,-,15,-,37.1,3.34,33.76,-,-,-,16.44,-,-,30.0,-
146,臺北市,1999/03/11,陽明,0.4,0.17,53.4,-,12,-,0.94,0.05,0.89,-,-,-,10.06,-,99.0,47.0,-
147,臺北市,1999/03/11,士林,0.5,0.39,23.9,-,13,-,22.94,2.9,20.04,-,-,-,16.02,-,-,26.0,-
148,臺北市,1999/03/10,松山,2.5,0.84,15.5,-,44,-,53.44,17.41,36.03,-,-,-,18.46,-,-,44.0,-
149,臺北市,1999/03/10,古亭,2.8,1.31,13.0,-,38,32,68.57,26.47,42.09,2.755,0.71,2.04,18.11,-,-,38.0,-
150,臺北市,1999/03/10,中山,2.1,1.33,13.3,-,36,-,64.66,21.7,42.96,2.966,0.66,2.31,18.39,-,-,36.0,-
151,臺北市,1999/03/10,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,臺北市,1999/03/10,萬華,2.2,1.08,17.2,-,38,-,48.51,6.66,41.85,-,-,-,18.73,-,-,38.0,-
153,臺北市,1999/03/10,陽明,0.5,0.3,40.8,-,12,-,5.4,0.65,4.74,-,-,-,13.24,-,94.0,43.0,-
154,臺北市,1999/03/10,士林,0.3,0.67,13.5,-,28,-,31.25,4.61,27.21,-,-,-,17.9,-,-,28.0,-
155,臺北市,1999/03/09,松山,3.3,1.09,23.1,-,56,-,61.06,17.22,43.84,-,-,-,20.49,-,-,57.0,-
156,臺北市,1999/03/09,古亭,4.0,1.07,23.0,-,42,29,52.78,15.28,37.5,2.467,0.51,1.95,20.38,-,-,53.0,-
157,臺北市,1999/03/09,中山,2.7,1.24,23.4,-,46,-,60.29,17.73,42.56,2.632,0.48,2.15,20.92,-,-,52.0,-
158,臺北市,1999/03/09,大同,4.7,3.12,-,-,-,-,148.19,94.09,54.09,4.064,1.65,2.41,22.14,-,-,61.0,-
159,臺北市,1999/03/09,萬華,3.7,1.07,23.5,-,52,-,46.23,6.57,39.66,-,-,-,21.38,-,-,55.0,-
160,臺北市,1999/03/09,陽明,0.8,0.29,48.7,-,12,-,3.06,0.17,2.89,-,-,-,15.13,-,92.0,61.0,-
161,臺北市,1999/03/09,士林,1.4,0.68,21.6,-,37,-,27.97,3.03,24.94,-,-,-,20.82,-,-,37.0,-
162,臺北市,1999/03/08,松山,3.4,0.72,17.9,-,51,-,47.56,13.8,33.76,-,-,-,17.18,-,-,50.0,-
163,臺北市,1999/03/08,古亭,1.5,0.72,22.9,-,50,25,37.4,10.04,27.36,2.124,0.28,1.85,17.19,-,-,50.0,-
164,臺北市,1999/03/08,中山,2.2,0.76,25.0,-,49,-,39.59,9.6,30.0,2.376,0.17,2.2,17.76,-,-,49.0,-
165,臺北市,1999/03/08,大同,5.1,3.45,-,-,-,-,183.49,131.86,51.63,4.17,1.79,2.38,19.1,-,-,53.0,-
166,臺北市,1999/03/08,萬華,2.4,0.84,23.7,-,39,-,35.84,4.4,31.45,-,-,-,18.41,-,-,39.0,-
167,臺北市,1999/03/08,陽明,0.4,0.24,48.7,-,12,-,1.8,0.09,1.71,-,-,-,10.86,-,97.0,43.0,-
168,臺北市,1999/03/08,士林,1.3,0.47,25.9,-,32,-,15.24,1.99,13.24,-,-,-,18.02,-,-,32.0,-
169,臺北市,1999/03/07,松山,1.5,0.46,27.1,-,39,-,24.49,3.08,21.41,-,-,-,18.68,-,-,39.0,-
170,臺北市,1999/03/07,古亭,1.6,0.71,20.2,-,37,32,31.72,5.56,26.15,2.178,0.29,1.88,18.62,-,-,37.0,-
171,臺北市,1999/03/07,中山,1.4,0.64,26.6,-,32,-,27.44,3.51,23.93,2.375,0.1,2.27,19.03,-,-,32.0,-
172,臺北市,1999/03/07,大同,3.3,1.98,-,-,40,-,111.6,73.62,37.99,3.252,0.9,2.35,20.0,-,-,40.0,-
173,臺北市,1999/03/07,萬華,1.8,0.75,21.5,-,34,-,26.73,2.22,24.51,-,-,-,19.53,-,-,34.0,-
174,臺北市,1999/03/07,陽明,0.6,0.25,43.0,-,12,-,3.05,0.3,2.75,-,-,-,12.92,-,95.0,52.0,-
175,臺北市,1999/03/07,士林,0.4,0.44,21.9,-,24,-,15.48,1.67,13.81,-,-,-,18.83,-,-,26.0,-
176,臺北市,1999/03/06,松山,4.3,0.82,9.0,-,-,-,55.4,25.5,29.9,-,-,-,22.29,-,-,40.0,-
177,臺北市,1999/03/06,古亭,3.6,1.07,10.5,-,27,25,61.47,31.34,30.13,2.19,0.35,1.84,22.55,-,-,27.0,-
178,臺北市,1999/03/06,中山,2.9,1.12,10.0,-,36,-,53.35,19.2,34.14,2.621,0.4,2.22,22.83,-,-,36.0,-
179,臺北市,1999/03/06,大同,5.9,2.97,-,-,50,-,139.0,86.63,45.1,3.898,1.54,2.35,24.07,-,-,53.0,-
180,臺北市,1999/03/06,萬華,3.4,1.08,10.8,-,30,-,48.01,10.82,37.19,-,-,-,23.57,-,-,30.0,-
181,臺北市,1999/03/06,陽明,0.9,0.19,35.4,-,13,-,3.18,0.25,2.92,-,-,-,18.43,-,87.0,42.0,-
182,臺北市,1999/03/06,士林,1.0,0.69,12.6,-,33,-,26.96,4.97,21.99,-,-,-,22.53,-,-,33.0,-
183,臺北市,1999/03/05,松山,10.4,1.09,12.2,-,-,-,81.98,43.38,38.6,-,-,-,24.04,-,-,34.0,-
184,臺北市,1999/03/05,古亭,5.1,1.32,17.2,-,51,35,69.79,26.95,42.84,2.454,0.53,1.92,24.55,-,-,57.0,-
185,臺北市,1999/03/05,中山,6.5,1.31,18.3,-,62,-,76.31,32.68,43.64,2.934,0.57,2.36,24.89,-,-,70.0,-
186,臺北市,1999/03/05,大同,11.5,4.09,-,-,84,-,208.45,156.93,51.52,4.933,2.32,2.61,26.38,-,-,67.0,-
187,臺北市,1999/03/05,萬華,6.0,1.34,22.1,-,58,-,63.35,18.15,45.2,-,-,-,25.81,-,-,89.0,-
188,臺北市,1999/03/05,陽明,4.1,0.16,39.8,-,14,-,4.65,0.39,4.26,-,-,-,20.28,-,75.0,66.0,-
189,臺北市,1999/03/05,士林,2.9,0.93,18.6,-,47,-,42.56,16.13,26.44,-,-,-,24.32,-,-,47.0,-
190,臺北市,1999/03/04,松山,10.5,1.55,24.9,-,-,-,97.16,49.22,47.94,-,-,-,22.22,-,-,156.0,-
191,臺北市,1999/03/04,古亭,5.8,1.7,23.5,-,81,53,92.45,45.77,46.68,2.932,0.87,2.06,22.58,-,-,100.0,-
192,臺北市,1999/03/04,中山,8.4,1.64,27.4,-,106,-,100.16,45.67,54.49,3.542,0.94,2.6,22.65,-,-,110.0,-
193,臺北市,1999/03/04,大同,12.4,3.67,-,-,114,-,192.03,127.36,64.67,-,-,-,24.24,-,-,82.0,-
